symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7112	0.7112	0.7127	0.7098	0.7114	96865	2019-04-04T22:55+02:00
BTCUSD	4975.26	0	5077.3501	4778.5898	4830.5898	14486	2019-04-04T22:55+02:00
EURUSD	1.1234	1.1232	1.1248	1.1206	1.1223	134952	2019-04-04T22:55+02:00
GBPUSD	1.3159	1.3159	1.319	1.3061	1.3073	190485	2019-04-04T22:55+02:00
ILSUSD	3.5993	3.5995	3.6069	3.5857	3.5858	20042	2019-04-04T22:55+02:00
NZDUSD	0.6776	0.6777	0.6799	0.6749	0.6752	41760	2019-04-04T22:54+02:00
USDARS	42.817	42.801	43.4	42.852	43.355	1016	2019-04-04T22:46+02:00
USDBGN	1.741	1.7408	1.7453	1.7389	1.7427	37848	2019-04-04T22:55+02:00
USDBHD	0.37677	0.3768	0.377	0.377	0.3768	1151	2019-04-04T22:54+02:00
USDBRL	3.8694	3.8705	3.8874	3.848	3.8552	61419	2019-04-04T22:55+02:00
USDCAD	1.3343	1.3347	1.3372	1.3337	1.3357	112618	2019-04-04T22:55+02:00
USDCHF	0.9982	0.998	1.0003	0.9972	0.9998	45297	2019-04-04T22:55+02:00
USDCLP	667.09	667.09	668.3	664.45	664.62	8235	2019-04-04T22:54+02:00
USDCNH	6.7133	6.7125	6.7248	6.7104	6.7155	81670	2019-04-04T22:55+02:00
USDCNY	6.7098	6.7066	6.72	6.7081	6.7167	4748	2019-04-04T17:30+02:00
USDCOP	3121	3121.5801	3137.1299	3125.5801	3127.9299	5723	2019-04-04T22:54+02:00
USDCZK	22.876	22.875	22.931	22.854	22.872	44118	2019-04-04T22:55+02:00
USDDKK	6.6457	6.6451	6.6603	6.6366	6.6526	94976	2019-04-04T22:55+02:00
USDHKD	7.8493	7.849	7.8494	7.8476	7.8486	6100	2019-04-04T22:55+02:00
USDHUF	284.5	284.49	285.59	284.38	284.87	69339	2019-04-04T22:55+02:00
USDIDR	14215	14185	14190	14180	14175	101	2019-04-04T10:59+02:00
USDINR	68.44	68.53	69.21	68.519	68.97	3055	2019-04-04T21:56+02:00
USDJPY	111.47	111.47	111.64	111.34	111.63	98434	2019-04-04T22:55+02:00
USDKRW	1133.67	1133.67	1137.86	1133.67	1135.33	10748	2019-04-04T22:53+02:00
USDMXN	19.21	19.2134	19.2817	19.1363	19.145	54108	2019-04-04T22:55+02:00
USDMYR	4.077	4.076	4.082	4.081	4.081	8	2019-04-04T11:11+02:00
USDNOK	8.5698	8.5696	8.6015	8.5615	8.5989	89792	2019-04-04T22:55+02:00
USDPEN	3.2925	3.2958	3.3026	3.296	3.2929	286	2019-04-04T22:46+02:00
USDPHP	52.08	52.07	52.321	52.02	52.158	4077	2019-04-04T22:43+02:00
USDPLN	3.8184	3.8181	3.8304	3.8133	3.8205	61938	2019-04-04T22:55+02:00
USDRON	4.2289	4.2296	4.2366	4.229	4.2283	40105	2019-04-04T22:55+02:00
USDRUB	65.226	65.2365	65.603	65.1379	65.3945	78406	2019-04-04T22:55+02:00
USDSAR	3.7503	3.7502	3.7505	3.7504	3.7502	5218	2019-04-04T22:54+02:00
USDSEK	9.2668	9.2664	9.2866	9.2579	9.2842	65940	2019-04-04T22:55+02:00
USDSGD	1.3533	1.3536	1.355	1.3526	1.3547	25113	2019-04-04T22:55+02:00
USDTHB	31.74	31.73	31.83	31.7	31.78	14418	2019-04-04T22:54+02:00
USDTRY	5.6221	5.6222	5.6601	5.555	5.5899	59726	2019-04-04T22:55+02:00
USDTWD	30.788	30.788	30.836	30.804	30.791	10568	2019-04-04T22:55+02:00
USDZAR	14.14	14.1407	14.2234	14.0883	14.1188	57107	2019-04-04T22:55+02:00
XAGUSD	15.135	15.12	0	0	15.133	0	2019-04-04T22:55+02:00
XAUUSD	1289.655	1289.7	0	0	1292.3466	0	2019-04-04T22:55+02:00
XPDUSD	1405	1405.5	0	0	1364.5	0	2019-04-04T22:50+02:00
XPTUSD	874.78	866	0	0	913.86	0	2019-04-04T22:02+02:00
