symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.6989	0.6989	0.7048	0.6982	0.701	103510	2019-05-07T22:58+02:00
BTCUSD	5686.87	0	5970	5686.8799	5849.3701	9695	2019-05-07T22:58+02:00
EURUSD	1.1197	1.1197	1.1221	1.1167	1.119	132303	2019-05-07T22:58+02:00
GBPUSD	1.3095	1.3095	1.3132	1.304	1.3072	152795	2019-05-07T22:58+02:00
ILSUSD	3.5838	3.5845	3.5926	3.5847	3.5893	20646	2019-05-07T22:58+02:00
NZDUSD	0.6611	0.6611	0.6629	0.6589	0.6598	35235	2019-05-07T22:58+02:00
USDARS	44.64	44.65	45.26	44.68	45.26	568	2019-05-07T22:14+02:00
USDBGN	1.7463	1.7464	1.7516	1.7431	1.7474	36755	2019-05-07T22:58+02:00
USDBHD	0.37679	0.3769	0.377	0.377	0.3768	1124	2019-05-07T22:54+02:00
USDBRL	3.9683	3.97	3.9996	3.9649	3.9699	54221	2019-05-07T22:58+02:00
USDCAD	1.3446	1.3446	1.3488	1.341	1.3471	86211	2019-05-07T22:58+02:00
USDCHF	1.0177	1.0177	1.0226	1.0161	1.0194	48380	2019-05-07T22:58+02:00
USDCLP	678.43	678.43	684.8	679	684.3	3987	2019-05-07T22:54+02:00
USDCNH	6.7717	6.7716	6.8022	6.7721	6.7943	96550	2019-05-07T22:58+02:00
USDCNY	6.7602	6.7625	6.7796	6.7593	6.7755	4983	2019-05-07T17:29+02:00
USDCOP	3253.25	3253.25	3300.3501	3257.25	3298.6499	4342	2019-05-07T22:54+02:00
USDCZK	22.956	22.958	23.044	22.921	22.983	41288	2019-05-07T22:58+02:00
USDDKK	6.6664	6.6664	6.6858	6.6558	6.6701	100853	2019-05-07T22:58+02:00
USDHKD	7.8458	7.8457	7.8486	7.8455	7.8483	6326	2019-05-07T22:58+02:00
USDHUF	288.92	288.92	290.33	288.21	289.52	65918	2019-05-07T22:58+02:00
USDIDR	14290	14285	14315	14270	14275	138	2019-05-07T11:00+02:00
USDINR	69.37	69.406	69.631	69.28	69.63	3039	2019-05-07T20:41+02:00
USDJPY	110.76	110.76	110.85	110.17	110.24	97290	2019-05-07T22:58+02:00
USDKRW	1168.15	1168.15	1173.8	1166.29	1171.36	18066	2019-05-07T22:56+02:00
USDMXN	18.9805	18.9805	19.09	18.9507	19.0291	56643	2019-05-07T22:58+02:00
USDMYR	4.146	4.146	4.147	4.149	4.147	4	2019-05-07T09:12+02:00
USDNOK	8.717	8.7194	8.7681	8.7001	8.7456	91789	2019-05-07T22:58+02:00
USDPEN	3.31	3.311	3.316	3.311	3.31	1067	2019-05-07T22:10+02:00
USDPHP	51.92	51.91	52.04	51.86	52.02	4412	2019-05-07T21:55+02:00
USDPLN	3.8254	3.8255	3.8431	3.8177	3.8317	62666	2019-05-07T22:58+02:00
USDRON	4.2436	4.2438	4.2583	4.2412	4.2474	36699	2019-05-07T22:58+02:00
USDRUB	65.228	65.2661	65.4552	64.99	65.3813	62884	2019-05-07T22:58+02:00
USDSAR	3.7502	3.75	3.7503	3.7503	3.75	6741	2019-05-07T22:54+02:00
USDSEK	9.5612	9.5612	9.6117	9.5425	9.592	67560	2019-05-07T22:57+02:00
USDSGD	1.363	1.3626	1.3643	1.3608	1.3626	28711	2019-05-07T22:58+02:00
USDTHB	31.89	31.87	31.96	31.88	31.9	12452	2019-05-07T22:58+02:00
USDTRY	6.0769	6.077	6.1969	6.0781	6.1525	68198	2019-05-07T22:58+02:00
USDTWD	30.91	30.91	30.959	30.888	30.93	12585	2019-05-07T22:54+02:00
USDZAR	14.46	14.454	14.52	14.3967	14.4353	75142	2019-05-07T22:58+02:00
XAGUSD	14.9	14.89	0	0	14.9023	0	2019-05-07T22:58+02:00
XAUUSD	1280.075	1280.7	0	0	1284.165	0	2019-05-07T22:58+02:00
XPDUSD	1337	1337.5	0	0	1327.5	0	2019-05-07T22:56+02:00
XPTUSD	872.5	870.5	0	0	868	0	2019-05-07T22:40+02:00
