symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.6868	0.6926	0.6938	0.689	0.691	61823	2019-05-20T15:29+02:00
BTCUSD	8197.46	0	8199.9697	7581.0298	7682.52	8702	2019-05-20T15:29+02:00
EURUSD	1.1156	1.1157	1.1168	1.1151	1.1162	50079	2019-05-20T15:29+02:00
GBPUSD	1.2718	1.2719	1.2757	1.2723	1.2725	70947	2019-05-20T15:29+02:00
ILSUSD	3.5706	3.5731	3.5777	3.5714	3.5752	11738	2019-05-20T15:29+02:00
NZDUSD	0.6519	0.6534	0.655	0.6521	0.6536	21586	2019-05-20T15:29+02:00
USDARS	44.945	44.943	45.31	45.057	45.31	7	2019-05-20T15:18+02:00
USDBGN	1.7527	1.7535	1.7541	1.7517	1.7519	12103	2019-05-20T15:29+02:00
USDBHD	0.37694	0.3769	0.377	0.377	0.3769	2312	2019-05-20T15:27+02:00
USDBRL	4.0997	4.101	4.1013	4.0783	4.096	18642	2019-05-20T15:29+02:00
USDCAD	1.3455	1.3459	1.3463	1.3423	1.3433	43758	2019-05-20T15:29+02:00
USDCHF	1.0105	1.0109	1.012	1.0085	1.0085	23403	2019-05-20T15:29+02:00
USDCLP	696.85	696.85	698.05	696.03	696.57	2887	2019-05-20T15:29+02:00
USDCNH	6.9476	6.946	6.948	6.9248	6.9437	64041	2019-05-20T15:28+02:00
USDCNY	6.9182	6.8995	6.9162	6.9014	6.9148	5206	2019-05-20T15:29+02:00
USDCOP	3320.03	3320.03	3321.5	3312.1499	3317.99	2339	2019-05-20T15:28+02:00
USDCZK	23.063	23.083	23.112	23.074	23.068	15325	2019-05-20T15:29+02:00
USDDKK	6.6923	6.6926	6.6974	6.6873	6.6899	49842	2019-05-20T15:29+02:00
USDHKD	7.8497	7.8493	7.8499	7.8481	7.8496	3755	2019-05-20T15:28+02:00
USDHUF	292.14	292.02	292.57	291.79	292.12	36598	2019-05-20T15:29+02:00
USDIDR	14445	14445	14455	14455	14450	13	2019-05-20T10:58+02:00
USDINR	70.2775	69.385	69.7575	69.36	69.641	2316	2019-05-20T15:27+02:00
USDJPY	110.07	110.12	110.31	109.81	109.88	63047	2019-05-20T15:29+02:00
USDKRW	1193.73	1194.11	1194.83	1191.33	1193.28	11287	2019-05-20T15:28+02:00
USDMXN	19.1631	19.165	19.165	19.098	19.115	32908	2019-05-20T15:29+02:00
USDMYR	4.175	0	0	0	4.175	0	2019-05-17T11:15+02:00
USDNOK	8.7916	8.7932	8.8008	8.7616	8.7845	34822	2019-05-20T15:29+02:00
USDPEN	3.33	3.33	3.33	3.333	3.326	11	2019-05-20T15:21+02:00
USDPHP	52.69	52.59	52.741	52.58	52.708	863	2019-05-20T15:28+02:00
USDPLN	3.8592	3.8595	3.8606	3.8479	3.8491	29864	2019-05-20T15:29+02:00
USDRON	4.2653	4.2661	4.2693	4.2629	4.2632	16436	2019-05-20T15:29+02:00
USDRUB	64.7505	64.7686	64.7718	64.44	64.566	30447	2019-05-20T15:29+02:00
USDSAR	3.7496	3.7496	3.7502	3.7502	3.7502	4081	2019-05-20T15:29+02:00
USDSEK	9.6415	9.6513	9.6559	9.6296	9.6485	31227	2019-05-20T15:29+02:00
USDSGD	1.3772	1.3773	1.3778	1.3744	1.3762	17042	2019-05-20T15:28+02:00
USDTHB	31.84	31.84	31.87	31.78	31.84	8724	2019-05-20T15:28+02:00
USDTRY	6.054	6.0548	6.0798	6.014	6.0279	43866	2019-05-20T15:29+02:00
USDTWD	31.363	31.366	31.472	31.261	31.416	8417	2019-05-20T15:28+02:00
USDZAR	14.4113	14.41	14.4354	14.35	14.3763	28607	2019-05-20T15:29+02:00
XAGUSD	14.39	14.398	0	0	14.4359	0	2019-05-20T15:29+02:00
XAUUSD	1277.15	1277.545	0	0	1276.551	0	2019-05-20T15:29+02:00
XPDUSD	1310	1311	0	0	1319.3199	0	2019-05-20T15:28+02:00
XPTUSD	813.5	816	0	0	810.945	0	2019-05-20T15:28+02:00
