symbol	prev_day_close	last
AUDUSD	0.8092	0.8067
BTCUSD	11150	10970
EURUSD	1.2381	1.2378
GBPUSD	1.4072	1.4024
ILSUSD	3.3966	3.3981
NZDUSD	0.732	0.7304
USDBRL	3.1549	3.1549
USDCAD	1.2336	1.2351
USDCHF	0.9373	0.9357
USDCNY	6.3328	6.337
USDCZK	20.417	20.452
USDDKK	6.0105	6.0118
USDHKD	7.8177	7.8187
USDHUF	250.13	250.38
USDINR	63.59	63.71
USDJPY	108.95	108.67
USDKRW	1069.95	1070.64
USDMXN	18.602	18.639
USDMYR	3.879	3.897
USDNOK	7.709	7.7226
USDPLN	3.3478	3.3514
USDRUB	56.3111	56.2525
USDSAR	3.75	3.7501
USDSEK	7.8904	7.8925
USDSGD	1.3099	1.3128
USDTHB	31.43	31.44
USDTRY	3.7924	3.7873
USDTWD	29.186	29.213
USDZAR	11.94	11.98
XAGUSD	17.156	17.133
XAUUSD	1339.96	1338.73
XPDUSD	1085.99	1082.65
XPTUSD	1003.5	996.4
