symbol	prev_day_close	last
AUDUSD	0.8092	0.8069
BTCUSD	11150	10951.04
EURUSD	1.2381	1.2352
GBPUSD	1.4072	1.4018
ILSUSD	3.3966	3.4005
NZDUSD	0.732	0.7311
USDBRL	3.1549	3.1549
USDCAD	1.2336	1.2362
USDCHF	0.9373	0.9387
USDCNY	6.3328	6.3351
USDCZK	20.417	20.513
USDDKK	6.0105	6.0252
USDHKD	7.8177	7.8186
USDHUF	250.13	250.89
USDINR	63.59	63.755
USDJPY	108.95	108.76
USDKRW	1069.95	1073.91
USDMXN	18.602	18.6571
USDMYR	3.879	3.894
USDNOK	7.709	7.7437
USDPLN	3.3478	3.3577
USDRUB	56.3111	56.2489
USDSAR	3.75	3.7502
USDSEK	7.8904	7.9072
USDSGD	1.3099	1.3129
USDTHB	31.43	31.45
USDTRY	3.7924	3.7917
USDTWD	29.186	29.229
USDZAR	11.94	12.0311
XAGUSD	17.156	17.11
XAUUSD	1339.96	1335
XPDUSD	1085.99	1077.74
XPTUSD	1003.5	992.9
