symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.6908	0.6916	0.6917	0.6895	0.6901	36856	2019-07-29T22:57+02:00
BTCUSD	9525.69	0	9725.1699	9360	9507.1602	4754	2019-07-29T22:57+02:00
EURUSD	1.1125	1.1126	1.115	1.1114	1.1145	63999	2019-07-29T22:57+02:00
GBPUSD	1.238	1.2385	1.2387	1.2213	1.2217	109487	2019-07-29T22:57+02:00
ILSUSD	3.5216	3.5215	3.5277	3.5193	3.5187	20333	2019-07-29T22:57+02:00
NZDUSD	0.6633	0.6626	0.6641	0.6617	0.663	19808	2019-07-29T22:57+02:00
USDARS	43.2705	43.2705	43.8555	43.2795	43.742	299	2019-07-29T22:53+02:00
USDBGN	1.7574	1.7579	1.7599	1.7542	1.7549	26982	2019-07-29T22:57+02:00
USDBHD	0.37699	0.377	0.377	0.377	0.3766	43	2019-07-29T18:21+02:00
USDBRL	3.7753	3.7747	3.8004	3.7749	3.7803	33797	2019-07-29T22:56+02:00
USDCAD	1.3166	1.3165	1.3182	1.3149	1.316	42575	2019-07-29T22:57+02:00
USDCHF	0.9933	0.9927	0.9935	0.991	0.9915	26089	2019-07-29T22:57+02:00
USDCLP	694.93	694.93	698.1	695.3	695.42	9490	2019-07-29T22:53+02:00
USDCNH	6.8808	6.8819	6.9001	6.8782	6.8918	63830	2019-07-29T22:57+02:00
USDCNY	6.8785	6.8785	6.8951	6.8789	6.8927	5089	2019-07-29T17:29+02:00
USDCOP	3237.8	3237.8	3284.1001	3230.5	3279.8201	7732	2019-07-29T22:52+02:00
USDCZK	22.969	22.972	23.046	22.956	23.011	33173	2019-07-29T22:57+02:00
USDDKK	6.7102	6.711	6.7187	6.6959	6.6996	64630	2019-07-29T22:57+02:00
USDHKD	7.8187	7.8178	7.8224	7.8139	7.8223	7493	2019-07-29T22:57+02:00
USDHUF	293.57	293.65	294.53	293.56	293.96	49125	2019-07-29T22:57+02:00
USDIDR	13999	13990	14023	14000	14015	245	2019-07-29T10:59+02:00
USDINR	68.87	68.895	68.96	68.725	68.75	5272	2019-07-29T20:37+02:00
USDJPY	108.66	108.68	108.89	108.43	108.77	59865	2019-07-29T22:57+02:00
USDKRW	1183.24	1183.11	1185.51	1180.96	1182.74	12151	2019-07-29T22:55+02:00
USDMXN	19.035	19.0375	19.1273	19.0161	19.0659	42128	2019-07-29T22:57+02:00
USDMYR	4.118	4.118	4.125	4.121	4.123	19	2019-07-29T11:33+02:00
USDNOK	8.7155	8.7142	8.729	8.6888	8.6908	40668	2019-07-29T22:56+02:00
USDPEN	3.2977	3.2977	3.298	3.2958	3.2871	29	2019-07-29T21:56+02:00
USDPHP	51.09	50.99	51.09	50.95	51	3672	2019-07-29T22:41+02:00
USDPLN	3.8419	3.8407	3.8541	3.8344	3.8472	53266	2019-07-29T22:57+02:00
USDRON	4.2389	4.2415	4.2536	4.2423	4.2429	27005	2019-07-29T22:57+02:00
USDRUB	63.3275	63.304	63.6306	63.1759	63.4175	66271	2019-07-29T22:57+02:00
USDSAR	3.7505	3.75	3.7508	3.7504	3.7502	1261	2019-07-29T20:02+02:00
USDSEK	9.5014	9.5026	9.5182	9.4816	9.4862	42343	2019-07-29T22:57+02:00
USDSGD	1.3696	1.3682	1.3719	1.3687	1.37	16802	2019-07-29T22:57+02:00
USDTHB	30.86	30.88	30.89	30.83	30.85	290	2019-07-29T19:56+02:00
USDTRY	5.6708	5.6708	5.6708	5.602	5.6102	56740	2019-07-29T22:57+02:00
USDTWD	31.082	31.081	31.111	31.065	31.089	9831	2019-07-29T22:57+02:00
USDZAR	14.2913	14.2472	14.3157	14.1575	14.1578	47592	2019-07-29T22:57+02:00
XAGUSD	16.3875	16.3944	0	0	16.4408	0	2019-07-29T22:57+02:00
XAUUSD	1418.31	1418.79	0	0	1426.48	0	2019-07-29T22:57+02:00
XPDUSD	1535.5	1533.5	0	0	1551.5	0	2019-07-29T22:57+02:00
XPTUSD	860	861	0	0	876	0	2019-07-29T22:56+02:00
