symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7315	0.7367	0.7383	0.7349	0.7366	40826	2018-12-03T08:59+02:00
BTCUSD	4098.15	0	4115.1499	3913	3954.8799	2360	2018-12-03T08:59+02:00
EURUSD	1.1315	1.1313	1.1369	1.1315	1.1361	31498	2018-12-03T08:59+02:00
GBPUSD	1.2751	1.2767	1.2792	1.2734	1.2779	56930	2018-12-03T08:59+02:00
ILSUSD	3.7147	3.7154	3.7161	3.7122	3.7104	1835	2018-12-03T08:59+02:00
NZDUSD	0.6878	0.6904	0.6939	0.689	0.6908	16209	2018-12-03T08:59+02:00
USDARS	37.706	0	0	0	37.706	0	2018-11-30T22:34+02:00
USDBGN	1.7278	1.7261	1.7284	1.7204	1.721	7641	2018-12-03T08:59+02:00
USDBHD	0.37698	0.3769	0.3771	0.377	0.3769	542	2018-12-03T08:59+02:00
USDBRL	3.8662	3.8662	3.8662	3.8676	3.8662	50	2018-12-02T23:00+02:00
USDCAD	1.3293	1.3255	1.3268	1.3202	1.3199	19275	2018-12-03T08:59+02:00
USDCHF	0.9987	0.9965	0.9995	0.997	0.9976	14842	2018-12-03T08:59+02:00
USDCLP	671.37	671.37	671.37	671.89	671.37	556	2018-12-03T08:58+02:00
USDCNH	6.949	6.8962	6.9252	6.8905	6.8926	43156	2018-12-03T08:59+02:00
USDCNY	6.9558	6.9242	6.9335	6.8978	6.8959	2022	2018-12-03T08:58+02:00
USDCOP	3232.5	3232.5	3232.5	3235.5	3232.5	556	2018-12-03T08:58+02:00
USDCZK	22.938	22.938	22.947	22.849	22.84	10236	2018-12-03T08:59+02:00
USDDKK	6.5932	6.574	6.5876	6.5639	6.5674	35070	2018-12-03T08:59+02:00
USDHKD	7.8234	7.8239	7.8255	7.82	7.8208	1683	2018-12-03T08:59+02:00
USDHUF	285.76	285.45	285.67	284.69	284.48	15632	2018-12-03T08:59+02:00
USDIDR	14300	14250	14265	14230	14230	118	2018-12-03T08:55+02:00
USDINR	69.64	69.87	70.21	69.88	70.2	571	2018-12-03T08:59+02:00
USDJPY	113.46	113.46	113.85	113.45	113.53	34885	2018-12-03T08:59+02:00
USDKRW	1119.44	1119.5601	1119.62	1110.15	1110.03	10086	2018-12-03T08:59+02:00
USDMXN	20.396	20.396	20.396	20.1007	20.0945	10692	2018-12-03T08:59+02:00
USDMYR	4.182	4.184	4.184	4.173	4.17	34	2018-12-03T07:58+02:00
USDNOK	8.5906	8.5913	8.5913	8.515	8.5206	15481	2018-12-03T08:59+02:00
USDPEN	3.3786	3.382	3.382	3.383	3.382	2	2018-12-02T20:42+02:00
USDPHP	52.358	52.39	52.51	52.27	52.31	137	2018-12-03T08:59+02:00
USDPLN	3.7913	3.7897	3.7897	3.7719	3.7736	11062	2018-12-03T08:59+02:00
USDRON	4.109	4.1083	4.1103	4.0942	4.0948	736	2018-12-03T08:59+02:00
USDRUB	67.06	67.0845	67.1005	66.1799	66.236	9412	2018-12-03T08:59+02:00
USDSAR	3.7514	3.7514	3.752	3.752	3.7516	1472	2018-12-03T08:59+02:00
USDSEK	9.105	9.1034	9.1034	9.0484	9.0532	10768	2018-12-03T08:59+02:00
USDSGD	1.3719	1.3703	1.3704	1.3672	1.3672	7687	2018-12-03T08:59+02:00
USDTHB	32.96	32.96	32.96	32.78	32.78	4600	2018-12-03T08:59+02:00
USDTRY	5.2118	5.2118	5.2127	5.161	5.1669	17154	2018-12-03T08:59+02:00
USDTWD	30.846	30.846	30.846	30.703	30.717	2125	2018-12-03T08:58+02:00
USDZAR	13.8592	13.7192	13.766	13.698	13.6833	8445	2018-12-03T08:59+02:00
XAGUSD	14.171	14.25	0	0	14.361	0	2018-12-03T08:59+02:00
XAUUSD	1221.88	1223.04	0	0	1227.0601	0	2018-12-03T08:59+02:00
XPDUSD	1178.02	1178.3	0	0	1194	0	2018-12-03T08:56+02:00
XPTUSD	797.7	801.4	0	0	811.6	0	2018-12-03T08:59+02:00
