symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7571	0.757	0.7593	0.76	0.7589	60960	2018-06-13T15:29+02:00
BTCUSD	6549.74	0	6624.4502	6380	6479	8871	2018-06-13T15:29+02:00
EURUSD	1.1743	1.1743	1.1782	1.17	1.1775	98239	2018-06-13T15:29+02:00
GBPUSD	1.337	1.3371	1.3376	1.33	1.3348	102800	2018-06-13T15:29+02:00
ILSUSD	3.5852	3.5863	3.5995	3.58	3.5811	10777	2018-06-13T15:29+02:00
NZDUSD	0.7005	0.7005	0.7049	0.7	0.7042	28635	2018-06-13T15:29+02:00
USDARS	25.721	25.721	25.721	25.66	25.68	23	2018-06-13T15:29+02:00
USDBGN	1.6649	1.6654	1.6675	1.66	1.6603	42471	2018-06-13T15:29+02:00
USDBHD	0.3774	0.3774	0.3777	0.38	0.3776	1009	2018-06-13T15:16+02:00
USDBRL	3.7174	3.7174	3.7177	3.69	3.7091	10916	2018-06-13T15:29+02:00
USDCAD	1.3013	1.3013	1.3046	1.3	1.2995	51862	2018-06-13T15:29+02:00
USDCHF	0.9866	0.9866	0.9895	0.99	0.9856	32379	2018-06-13T15:29+02:00
USDCLP	637.4	637.4	638.3	636	636.41	1660	2018-06-13T15:29+02:00
USDCNH	6.4045	6.4044	6.4087	6.39	6.3933	55365	2018-06-13T15:29+02:00
USDCNY	6.3992	6.4094	6.4101	6.4	6.3957	3583	2018-06-13T15:21+02:00
USDCOP	2861.25	2861.1399	2862.8899	2847.1001	2848.5	1303	2018-06-13T15:29+02:00
USDCZK	21.867	21.868	21.911	21.84	21.839	24843	2018-06-13T15:29+02:00
USDDKK	6.3433	6.3427	6.3514	6.32	6.3253	48864	2018-06-13T15:29+02:00
USDHKD	7.8468	7.8468	7.8485	7.85	7.8481	6221	2018-06-13T15:29+02:00
USDHUF	272.02	271.96	273.01	271.9	271.87	40516	2018-06-13T15:29+02:00
USDIDR	13925	0	0	0	13925	0	2018-06-08T10:59+02:00
USDINR	67.475	67.595	67.7	67.55	67.6	1375	2018-06-13T13:47+02:00
USDJPY	110.36	110.36	110.71	110.36	110.43	61224	2018-06-13T15:29+02:00
USDKRW	1080.83	1080.83	1087	1080.86	1083.26	10418	2018-06-13T15:29+02:00
USDMXN	20.7136	20.7111	20.751	20.62	20.6601	61370	2018-06-13T15:29+02:00
USDMYR	3.988	3.989	3.998	3.99	3.992	40	2018-06-13T11:44+02:00
USDNOK	8.0496	8.0495	8.0583	8.01	8.0157	53560	2018-06-13T15:29+02:00
USDPEN	3.2667	3.2699	3.2699	3.27	3.265	15	2018-06-13T15:24+02:00
USDPHP	53.043	53.037	53.275	53	53.21	2971	2018-06-13T15:28+02:00
USDPLN	3.6449	3.6448	3.6518	3.63	3.629	32121	2018-06-13T15:29+02:00
USDRON	3.967	3.9665	3.9738	3.96	3.9581	40694	2018-06-13T15:29+02:00
USDRUB	63.0426	63.0481	63.2572	62.52	62.6015	30545	2018-06-13T15:29+02:00
USDSAR	3.7499	3.7501	3.7501	3.75	3.75	926	2018-06-13T15:16+02:00
USDSEK	8.6427	8.6422	8.6538	8.6	8.6158	46529	2018-06-13T15:29+02:00
USDSGD	1.3361	1.3368	1.3373	1.34	1.3352	15665	2018-06-13T15:29+02:00
USDTHB	32.08	32.08	32.19	32.08	32.1	6961	2018-06-13T15:29+02:00
USDTRY	4.5943	4.592	4.6962	4.58	4.6363	118916	2018-06-13T15:29+02:00
USDTWD	29.862	29.861	29.931	29.79	29.837	9921	2018-06-13T15:29+02:00
USDZAR	13.3286	13.3288	13.3935	13.23	13.275	40329	2018-06-13T15:29+02:00
XAGUSD	16.855	16.83	0	0	16.981	0	2018-06-13T15:29+02:00
XAUUSD	1295.57	1295.0699	0	0	1296.74	0	2018-06-13T15:29+02:00
XPDUSD	1018.5	1020	0	0	1014	0	2018-06-13T15:29+02:00
XPTUSD	894	894.5	0	0	900.5	0	2018-06-13T15:29+02:00
