symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7092	0.7091	0.7096	0.7067	0.7077	40104	2019-03-05T08:55+02:00
BTCUSD	3698.01	0	3713.6899	3690	3708.8701	1613	2019-03-05T08:55+02:00
EURUSD	1.1337	1.1337	1.1351	1.1321	1.1322	34822	2019-03-05T08:55+02:00
GBPUSD	1.3186	1.3175	1.3195	1.3151	1.3153	50231	2019-03-05T08:55+02:00
ILSUSD	3.6219	3.6218	3.6237	3.6237	3.6225	8321	2019-03-05T08:55+02:00
NZDUSD	0.6818	0.6817	0.6827	0.6789	0.6791	15121	2019-03-05T08:55+02:00
USDARS	39.82	0	0	0	39.82	0	2019-03-04T21:06+02:00
USDBGN	1.7243	1.7246	1.7277	1.7231	1.7273	9539	2019-03-05T08:55+02:00
USDBHD	0.37679	0.377	0.377	0.377	0.377	431	2019-03-05T08:52+02:00
USDBRL	3.775	0	0	0	3.775	0	2019-03-04T16:15+02:00
USDCAD	1.3302	1.3301	1.3331	1.3301	1.3326	38386	2019-03-05T08:55+02:00
USDCHF	0.9988	0.9989	1.0002	0.9985	1	28522	2019-03-05T08:55+02:00
USDCLP	659.84	659.84	659.84	660.56	659.84	468	2019-03-05T08:52+02:00
USDCNH	6.7052	6.706	6.7102	6.6996	6.7014	31733	2019-03-05T08:55+02:00
USDCNY	6.7045	6.7062	6.7069	6.6982	6.7009	6290	2019-03-05T08:55+02:00
USDCOP	3093.95	3093.95	3093.95	3096.95	3093.95	467	2019-03-05T08:52+02:00
USDCZK	22.598	22.6	22.641	22.6	22.635	6325	2019-03-05T08:55+02:00
USDDKK	6.5794	6.5798	6.5912	6.5792	6.5889	28305	2019-03-05T08:55+02:00
USDHKD	7.8488	7.8489	7.8497	7.8491	7.8495	838	2019-03-05T08:54+02:00
USDHUF	278.32	278.24	278.74	278.48	278.7	14207	2019-03-05T08:55+02:00
USDIDR	14125	14120	14150	14130	14135	83	2019-03-05T08:43+02:00
USDINR	70.9	70.959	70.971	70.714	70.765	1174	2019-03-05T08:54+02:00
USDJPY	111.74	111.72	111.95	111.73	111.91	32999	2019-03-05T08:55+02:00
USDKRW	1125.46	1125.46	1128.48	1125	1126.01	7428	2019-03-05T08:55+02:00
USDMXN	19.29	19.2905	19.3222	19.2973	19.297	11500	2019-03-05T08:55+02:00
USDMYR	4.074	4.07	4.077	4.078	4.074	15	2019-03-05T08:38+02:00
USDNOK	8.6429	8.6447	8.6702	8.6439	8.6682	27189	2019-03-05T08:55+02:00
USDPEN	3.3	3.3	3.3	3.307	3.3	6	2019-03-05T06:47+02:00
USDPHP	51.75	51.75	52.24	51.72	52.15	864	2019-03-05T08:53+02:00
USDPLN	3.7899	3.79	3.7985	3.7911	3.7969	16464	2019-03-05T08:55+02:00
USDRON	4.1768	4.1763	4.1898	4.1772	4.1833	11439	2019-03-05T08:55+02:00
USDRUB	65.7315	65.7315	65.7801	65.6155	65.718	13778	2019-03-05T08:55+02:00
USDSAR	3.75	3.75	3.7503	3.7504	3.7502	1111	2019-03-05T08:55+02:00
USDSEK	9.3375	9.3352	9.3798	9.3352	9.3644	16510	2019-03-05T08:55+02:00
USDSGD	1.3544	1.3547	1.3557	1.3543	1.3541	8004	2019-03-05T08:55+02:00
USDTHB	31.84	31.84	31.92	31.8	31.8	5044	2019-03-05T08:55+02:00
USDTRY	5.3727	5.369	5.3975	5.3713	5.3813	16930	2019-03-05T08:55+02:00
USDTWD	30.823	30.824	30.86	30.817	30.823	2217	2019-03-05T08:54+02:00
USDZAR	14.2091	14.2128	14.2221	14.1927	14.1982	10290	2019-03-05T08:55+02:00
XAGUSD	15.0747	15.0737	0	0	15.1149	0	2019-03-05T08:55+02:00
XAUUSD	1286.4161	1286.3514	0	0	1287.297	0	2019-03-05T08:55+02:00
XPDUSD	1533.01	1533.645	0	0	1519.405	0	2019-03-05T08:55+02:00
XPTUSD	834.75	835.25	0	0	837.7854	0	2019-03-05T08:55+02:00
