symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7178	0.7178	0.7199	0.7137	0.715	95702	2019-04-18T22:59+02:00
BTCUSD	5227.6	0	5325	5218.23	5308.5698	5932	2019-04-18T22:59+02:00
EURUSD	1.1294	1.1295	1.1305	1.1227	1.1232	125536	2019-04-18T22:59+02:00
GBPUSD	1.3043	1.304	1.3053	1.298	1.2988	173640	2019-04-18T22:59+02:00
ILSUSD	3.5706	3.5692	3.5964	3.571	3.592	24019	2019-04-18T22:59+02:00
NZDUSD	0.6726	0.6726	0.673	0.6673	0.6682	38061	2019-04-18T22:59+02:00
USDARS	41.62	41.62	41.81	41.64	41.791	9	2019-04-18T21:01+02:00
USDBGN	1.7316	1.7316	1.7424	1.7303	1.7407	50147	2019-04-18T22:59+02:00
USDBHD	0.37684	0.3768	0.377	0.377	0.3768	1453	2019-04-18T22:56+02:00
USDBRL	3.9373	3.9397	3.951	3.9043	3.927	55066	2019-04-18T22:59+02:00
USDCAD	1.3338	1.3339	1.3399	1.3336	1.3375	88596	2019-04-18T22:59+02:00
USDCHF	1.0103	1.0103	1.0159	1.0093	1.0154	44854	2019-04-18T22:59+02:00
USDCLP	661.66	661.66	663.63	661.15	661.81	3440	2019-04-18T22:56+02:00
USDCNH	6.6765	6.6766	6.7105	6.677	6.7058	75539	2019-04-18T22:59+02:00
USDCNY	6.687	6.6862	6.7085	6.6862	6.7081	5586	2019-04-18T17:30+02:00
USDCOP	3155.5	3155.5	3160.53	3155.5601	3146.25	1457	2019-04-18T22:56+02:00
USDCZK	22.715	22.709	22.89	22.698	22.873	51930	2019-04-18T22:59+02:00
USDDKK	6.609	6.6093	6.6509	6.6052	6.6465	102713	2019-04-18T22:59+02:00
USDHKD	7.8452	7.8451	7.8465	7.844	7.846	7531	2019-04-18T22:59+02:00
USDHUF	282.39	282.38	284.92	282.56	284.64	70274	2019-04-18T22:59+02:00
USDIDR	14080	14000	14045	14000	14040	49	2019-04-18T10:59+02:00
USDINR	69.4214	69.412	69.614	69.33	69.39	3060	2019-04-18T18:39+02:00
USDJPY	112.05	112.04	112.07	111.78	111.96	97990	2019-04-18T22:59+02:00
USDKRW	1131.28	1131.28	1138.01	1132.33	1136.61	11448	2019-04-18T22:58+02:00
USDMXN	18.8273	18.815	18.9083	18.7534	18.797	47592	2019-04-18T22:59+02:00
USDMYR	4.133	4.134	4.145	4.138	4.141	24	2019-04-18T12:02+02:00
USDNOK	8.4911	8.4911	8.5597	8.4867	8.5111	75217	2019-04-18T22:59+02:00
USDPEN	3.292	3.292	3.292	3.297	3.2912	45	2019-04-18T22:39+02:00
USDPHP	51.63	51.63	51.79	51.667	51.73	3480	2019-04-18T22:54+02:00
USDPLN	3.7801	3.7799	3.8137	3.7782	3.8081	64915	2019-04-18T22:59+02:00
USDRON	4.2136	4.2144	4.238	4.2144	4.2351	47804	2019-04-18T22:59+02:00
USDRUB	63.802	63.7731	64.152	63.7926	63.8912	84360	2019-04-18T22:59+02:00
USDSAR	3.7498	3.7498	3.7501	3.7501	3.7497	2770	2019-04-18T22:56+02:00
USDSEK	9.2466	9.2471	9.335	9.2391	9.3058	67337	2019-04-18T22:59+02:00
USDSGD	1.3525	1.3526	1.3564	1.3524	1.3562	26878	2019-04-18T22:59+02:00
USDTHB	31.78	31.77	31.86	31.77	31.8	12782	2019-04-18T22:59+02:00
USDTRY	5.7367	5.7379	5.847	5.7387	5.8002	69716	2019-04-18T22:59+02:00
USDTWD	30.772	30.772	30.86	30.744	30.828	13614	2019-04-18T22:56+02:00
USDZAR	13.9737	13.97	14.1177	13.9792	14.0478	85494	2019-04-18T22:59+02:00
XAGUSD	14.995	14.97	0	0	14.98	0	2019-04-18T22:58+02:00
XAUUSD	1273.74	1272.99	0	0	1275.01	0	2019-04-18T22:32+02:00
XPDUSD	1401.5	1402.5	0	0	1419.5	0	2019-04-18T22:59+02:00
XPTUSD	883	886.5	0	0	900.5	0	2019-04-18T22:44+02:00
