symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7059	0.706	0.7087	0.7054	0.7081	44712	2019-02-12T08:59+02:00
BTCUSD	3588.99	0	3591.29	3548.28	3576.8401	1754	2019-02-12T08:59+02:00
EURUSD	1.1275	1.1278	1.1287	1.1272	1.1283	36893	2019-02-12T08:59+02:00
GBPUSD	1.2849	1.2857	1.2883	1.2852	1.2865	53182	2019-02-12T08:59+02:00
ILSUSD	3.6457	3.645	3.6476	3.6472	3.6453	8379	2019-02-12T08:59+02:00
NZDUSD	0.673	0.6731	0.6738	0.6721	0.6732	14461	2019-02-12T08:59+02:00
USDARS	37.89	0	0	0	37.89	0	2019-02-11T23:37+02:00
USDBGN	1.7335	1.7343	1.7352	1.7329	1.733	20103	2019-02-12T08:59+02:00
USDBHD	0.3768	0.3768	0.377	0.377	0.377	180	2019-02-12T08:59+02:00
USDBRL	3.7576	0	0	0	3.7576	0	2019-02-11T23:30+02:00
USDCAD	1.3304	1.3301	1.3316	1.3284	1.3281	40690	2019-02-12T08:59+02:00
USDCHF	1.0037	1.0036	1.0047	1.0039	1.0041	11303	2019-02-12T08:59+02:00
USDCLP	661.54	661.54	661.54	662.32	661.54	266	2019-02-12T08:55+02:00
USDCNH	6.7991	6.799	6.8088	6.7848	6.7859	39847	2019-02-12T08:59+02:00
USDCNY	6.7907	6.7898	6.7942	6.7757	6.7752	3511	2019-02-12T08:59+02:00
USDCOP	3136.88	3136.8799	3136.8799	3140.8799	3136.8799	267	2019-02-12T08:55+02:00
USDCZK	22.938	22.941	22.957	22.934	22.925	9450	2019-02-12T08:59+02:00
USDDKK	6.6178	6.6178	6.6203	6.6129	6.6135	28043	2019-02-12T08:59+02:00
USDHKD	7.8474	7.8476	7.8483	7.8467	7.848	1836	2019-02-12T08:59+02:00
USDHUF	283.6	283.6	283.71	283.33	283.1	18611	2019-02-12T08:59+02:00
USDIDR	14035	14080	14095	14049	14045	87	2019-02-12T08:55+02:00
USDINR	71.13	71.249	71.249	70.854	70.88	1264	2019-02-12T08:59+02:00
USDJPY	110.36	110.36	110.64	110.36	110.52	36095	2019-02-12T08:59+02:00
USDKRW	1124.99	1124.99	1127.17	1122.95	1123.58	9301	2019-02-12T08:59+02:00
USDMXN	19.2987	19.299	19.3161	19.2755	19.274	15293	2019-02-12T08:59+02:00
USDMYR	4.07	4.073	4.078	4.073	4.072	20	2019-02-12T08:53+02:00
USDNOK	8.7168	8.7146	8.7189	8.6987	8.7011	20962	2019-02-12T08:59+02:00
USDPEN	3.3284	3.3182	3.3182	3.3252	3.3182	11	2019-02-12T07:10+02:00
USDPHP	52.22	52.22	52.37	52.13	52.12	544	2019-02-12T08:59+02:00
USDPLN	3.8357	3.8356	3.8371	3.8304	3.8305	19565	2019-02-12T08:59+02:00
USDRON	4.2049	4.2049	4.2071	4.2028	4.2	10102	2019-02-12T08:59+02:00
USDRUB	65.785	65.765	65.8343	65.7205	65.7827	11432	2019-02-12T08:59+02:00
USDSAR	3.7502	3.75	3.7506	3.7503	3.7502	7524	2019-02-12T08:59+02:00
USDSEK	9.3063	9.3063	9.309	9.2865	9.2861	14812	2019-02-12T08:59+02:00
USDSGD	1.3608	1.3607	1.3614	1.3584	1.3584	9208	2019-02-12T08:59+02:00
USDTHB	31.44	31.42	31.45	31.33	31.32	4191	2019-02-12T08:59+02:00
USDTRY	5.2742	5.2742	5.2856	5.2673	5.2678	21632	2019-02-12T08:59+02:00
USDTWD	30.862	30.862	30.891	30.797	30.809	2490	2019-02-12T08:59+02:00
USDZAR	13.8035	13.8	13.82	13.765	13.7594	25105	2019-02-12T08:59+02:00
XAGUSD	15.704	15.704	0	0	15.779	0	2019-02-12T08:59+02:00
XAUUSD	1308.26	1308.16	0	0	1311.42	0	2019-02-12T08:59+02:00
XPDUSD	1385.5	1385	0	0	1392.12	0	2019-02-12T08:59+02:00
XPTUSD	781.5	782	0	0	784.81	0	2019-02-12T08:59+02:00
