symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.6908	0.6916	0.6917	0.6907	0.6904	553	2019-07-28T22:57+02:00
BTCUSD	9457.41	0	9563.7695	9352.7002	9508.5898	1582	2019-07-28T22:57+02:00
EURUSD	1.1125	1.1126	1.113	1.1126	1.1124	255	2019-07-28T22:57+02:00
GBPUSD	1.238	1.2385	1.2387	1.2377	1.2375	858	2019-07-28T22:57+02:00
ILSUSD	3.5216	3.5215	3.5216	3.5232	3.5215	19	2019-07-28T21:00+02:00
NZDUSD	0.6633	0.6626	0.6637	0.663	0.6632	270	2019-07-28T22:57+02:00
USDARS	43.2705	0	0	0	43.2705	0	2019-07-26T22:02+02:00
USDBGN	1.7574	1.7579	1.7582	1.757	1.7579	183	2019-07-28T22:56+02:00
USDBHD	0.37699	0	0	0	0.377	0	2019-07-28T11:35+02:00
USDBRL	3.7753	0	0	0	3.7749	0	2019-07-27T00:30+02:00
USDCAD	1.3166	1.3165	1.3171	1.3158	1.316	289	2019-07-28T22:57+02:00
USDCHF	0.9933	0.9927	0.9935	0.9931	0.9933	57	2019-07-28T22:57+02:00
USDCLP	694.93	694.93	694.93	695.58	694.93	1	2019-07-28T21:39+02:00
USDCNH	6.8808	6.8819	6.8819	6.8829	6.8809	3	2019-07-28T22:56+02:00
USDCNY	6.8785	0	0	0	6.8785	0	2019-07-26T17:50+02:00
USDCOP	3237.8	3237.8	3237.8	3240.8	3237.8	1	2019-07-28T21:39+02:00
USDCZK	22.969	22.972	22.979	22.967	22.962	104	2019-07-28T22:57+02:00
USDDKK	6.7102	6.711	6.7126	6.7083	6.7111	112	2019-07-28T22:57+02:00
USDHKD	7.8187	0	0	0	7.8187	0	2019-07-28T20:59+02:00
USDHUF	293.57	293.65	293.65	293.71	293.44	39	2019-07-28T22:57+02:00
USDIDR	13999	0	0	0	13999	0	2019-07-26T10:59+02:00
USDINR	68.87	0	0	0	68.87	0	2019-07-26T22:49+02:00
USDJPY	108.66	108.68	108.7	108.66	108.68	213	2019-07-28T22:57+02:00
USDKRW	1183.24	0	0	0	1183.22	0	2019-07-28T19:20+02:00
USDMXN	19.035	19.0375	19.04	19.0525	19.04	2	2019-07-28T21:01+02:00
USDMYR	4.118	0	0	0	4.118	0	2019-07-26T11:15+02:00
USDNOK	8.7155	8.7142	8.7175	8.7104	8.7131	67	2019-07-28T22:57+02:00
USDPEN	3.2977	0	0	0	3.2977	0	2019-07-27T00:58+02:00
USDPHP	51.09	0	0	0	51.09	0	2019-07-26T22:55+02:00
USDPLN	3.8419	3.8407	3.8407	3.8407	3.8402	4	2019-07-28T21:11+02:00
USDRON	4.2389	4.2415	4.2415	4.243	4.2393	216	2019-07-28T22:57+02:00
USDRUB	63.3275	0	0	0	63.3275	0	2019-07-26T22:59+02:00
USDSAR	3.7505	3.75	3.75	3.7509	3.75	1	2019-07-28T21:36+02:00
USDSEK	9.5014	9.5026	9.5028	9.5016	9.5028	13	2019-07-28T22:57+02:00
USDSGD	1.3696	0	0	0	1.3695	0	2019-07-28T20:59+02:00
USDTHB	30.86	0	0	0	30.86	0	2019-07-26T22:57+02:00
USDTRY	5.6708	5.6708	5.6708	5.6727	5.6707	2	2019-07-28T21:39+02:00
USDTWD	31.082	31.081	31.081	31.111	31.081	5	2019-07-28T22:00+02:00
USDZAR	14.2913	0	0	0	14.2913	0	2019-07-28T20:59+02:00
XAGUSD	16.3875	0	0	0	16.3875	0	2019-07-26T22:59+02:00
XAUUSD	1418.31	0	0	0	1418.3101	0	2019-07-26T23:00+02:00
XPDUSD	1535.5	0	0	0	1535.5	0	2019-07-26T23:00+02:00
XPTUSD	860	0	0	0	860	0	2019-07-26T23:01+02:00
