currency	prev_day_close	last	last_time	volume	full_volume
AUDUSD	0.799	0.7987	2018-01-22 07:49:00	20755	20755
EURUSD	1.222	1.2219	2018-01-22 07:49:00	29130	0
GBPUSD	1.3849	1.386	2018-01-22 07:49:00	33541	0
ILSUSD	3.4146	3.4211	2018-01-22 07:49:00	964	964
NZDUSD	0.7275	0.7275	2018-01-22 07:49:00	14753	14753
USDBRL	3.1961	3.196	2018-01-21 20:54:00	18	18
USDCAD	1.2487	1.248	2018-01-22 07:49:00	10159	10159
USDCHF	0.9628	0.9624	2018-01-22 07:49:00	9458	9458
USDCNY	6.399	6.413	2018-01-22 07:49:00	624	624
USDCZK	20.768	20.775	2018-01-22 07:49:00	8611	8611
USDDKK	6.089	6.0903	2018-01-22 07:49:00	26836	26836
USDHKD	7.8164	7.8186	2018-01-22 07:48:00	1435	1435
USDHUF	252.77	252.83	2018-01-22 07:49:00	8904	8904
USDINR	63.82	63.87	2018-01-22 07:48:00	558	558
USDJPY	110.76	110.86	2018-01-22 07:49:00	29755	29755
USDKRW	1067.11	1069.71	2018-01-22 07:47:00	8753	8753
USDMXN	18.606	18.6264	2018-01-22 07:49:00	8887	8887
USDMYR	3.936	3.94	2018-01-22 07:24:00	20	20
USDNOK	7.8653	7.8613	2018-01-22 07:49:00	10312	10312
USDPLN	3.4141	3.4135	2018-01-22 07:49:00	1773	1773
USDRUB	56.6794	56.7043	2018-01-22 07:49:00	6230	0
USDSAR	3.7502	3.7502	2018-01-22 07:44:00	115	115
USDSEK	8.0423	8.0453	2018-01-22 07:49:00	7221	7221
USDSGD	1.3207	1.3215	2018-01-22 07:49:00	4904	4904
USDTHB	31.85	31.87	2018-01-22 07:48:00	4362	4362
USDTRY	3.805	3.8154	2018-01-22 07:49:00	11079	11079
USDTWD	29.341	29.223	2018-01-22 07:48:00	2372	2372
USDZAR	12.1783	12.085	2018-01-22 07:49:00	3452	3452
