currency	prev_day_close	last	last_time	volume	full_volume
AUDUSD	0.799	0.801	2018-01-22 15:24:00	45947	45947
BTCUSD	11505.54	10720	2018-01-22 15:23:59	17692	0
EURUSD	1.222	1.2246	2018-01-22 15:24:00	73429	0
GBPUSD	1.3849	1.3914	2018-01-22 15:24:00	81436	0
ILSUSD	3.4146	3.4176	2018-01-22 15:23:00	9957	9957
NZDUSD	0.7275	0.731	2018-01-22 15:24:00	30151	30151
USDBRL	3.1961	3.1965	2018-01-22 15:24:00	15147	15147
USDCAD	1.2487	1.2458	2018-01-22 15:24:00	30276	30276
USDCHF	0.9628	0.9609	2018-01-22 15:24:00	26622	26622
USDCNY	6.399	6.4015	2018-01-22 14:15:00	1186	1186
USDCZK	20.768	20.726	2018-01-22 15:24:00	23589	23589
USDDKK	6.089	6.0779	2018-01-22 15:24:00	60444	60444
USDHKD	7.8164	7.8191	2018-01-22 15:24:00	4861	4861
USDHUF	252.77	252.52	2018-01-22 15:24:00	28184	28184
USDINR	63.82	63.905	2018-01-22 14:03:00	1309	1309
USDJPY	110.76	110.76	2018-01-22 15:24:00	59641	59641
USDKRW	1067.11	1069.96	2018-01-22 15:24:00	12833	12833
USDMXN	18.606	18.6431	2018-01-22 15:24:00	37494	37494
USDMYR	3.936	3.933	2018-01-22 10:47:00	35	35
USDNOK	7.8653	7.8574	2018-01-22 15:24:00	38813	38813
USDPLN	3.4141	3.4062	2018-01-22 15:24:00	17034	17034
USDRUB	56.6794	56.5995	2018-01-22 15:23:00	26208	0
USDSAR	3.7502	3.7499	2018-01-22 15:19:00	1987	1987
USDSEK	8.0423	8.0317	2018-01-22 15:24:00	37806	37806
USDSGD	1.3207	1.3191	2018-01-22 15:24:00	12552	12552
USDTHB	31.85	31.84	2018-01-22 15:23:00	7237	7237
USDTRY	3.805	3.7916	2018-01-22 15:24:00	59246	59246
USDTWD	29.341	29.266	2018-01-22 15:24:00	6568	6568
USDZAR	12.1783	12.1172	2018-01-22 15:24:00	30761	30761
XAGUSD	17	17.045	2018-01-22 15:23:00	0	0
XAUUSD	1331.41	1333.11	2018-01-22 15:24:00	0	0
XPDUSD	1104.72	1091.24	2018-01-22 15:24:00	0	0
XPTUSD	1013	1014.8	2018-01-22 15:23:00	0	0
