symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.6827	0.6827	0.6832	0.6782	0.6788	32644	2019-09-19T07:58+02:00
BTCUSD	10152.16	0	10185.9502	9600	9881.5195	3366	2019-09-19T07:58+02:00
EURUSD	1.1029	1.1028	1.1043	1.1024	1.1041	17694	2019-09-19T07:58+02:00
GBPUSD	1.2468	1.2471	1.2486	1.246	1.2475	42499	2019-09-19T07:58+02:00
ILSUSD	3.5349	3.5356	3.5356	3.5296	3.5282	8116	2019-09-19T07:58+02:00
NZDUSD	0.632	0.6318	0.6331	0.6299	0.631	13626	2019-09-19T07:58+02:00
USDARS	56.343	0	0	0	56.343	0	2019-09-18T22:59+02:00
USDBGN	1.7729	1.7732	1.7745	1.7712	1.7712	17096	2019-09-19T07:58+02:00
USDBHD	0.37696	0.377	0.3771	0.377	0.377	68	2019-09-19T07:57+02:00
USDBRL	4.1106	4.1103	4.1103	4.1113	4.1103	1	2019-09-18T23:00+02:00
USDCAD	1.3284	1.3287	1.3307	1.3282	1.3284	24804	2019-09-19T07:58+02:00
USDCHF	0.9973	0.9973	0.9983	0.996	0.9959	16706	2019-09-19T07:58+02:00
USDCLP	715.1	0	0	0	715.1	0	2019-09-18T22:20+02:00
USDCNH	7.0826	7.0821	7.1062	7.0808	7.0984	31053	2019-09-19T07:58+02:00
USDCNY	7.0849	7.0845	7.1045	7.0875	7.1016	3285	2019-09-19T07:58+02:00
USDCOP	3373	3369.3101	3369.3101	3375.3101	3369.3101	1	2019-09-18T23:00+02:00
USDCZK	23.449	23.442	23.48	23.447	23.439	14369	2019-09-19T07:58+02:00
USDDKK	6.7697	6.7708	6.7752	6.7622	6.7634	27803	2019-09-19T07:58+02:00
USDHKD	7.8308	7.831	7.831	7.8238	7.8267	3414	2019-09-19T07:58+02:00
USDHUF	301.72	301.74	302.16	301.43	301.23	20756	2019-09-19T07:58+02:00
USDIDR	14055	14070	14099	14090	14090	79	2019-09-19T07:57+02:00
USDINR	71.13	71.34	71.375	71.16	71.21	1765	2019-09-19T07:57+02:00
USDJPY	108.44	108.44	108.46	107.8	107.92	40450	2019-09-19T07:58+02:00
USDKRW	1190.73	1190.78	1197	1190.74	1194.4	6578	2019-09-19T07:57+02:00
USDMXN	19.397	19.397	19.447	19.3973	19.4306	7768	2019-09-19T07:58+02:00
USDMYR	4.182	4.183	4.197	4.187	4.195	19	2019-09-19T07:32+02:00
USDNOK	8.945	8.9454	8.9545	8.9429	8.9478	17744	2019-09-19T07:58+02:00
USDPEN	3.35	0	0	0	3.35	0	2019-09-18T22:33+02:00
USDPHP	52.15	52.19	52.33	52.21	52.2	312	2019-09-19T07:52+02:00
USDPLN	3.9322	3.9324	3.9391	3.9308	3.9302	17920	2019-09-19T07:58+02:00
USDRON	4.2979	4.2975	4.3003	4.297	4.2939	14000	2019-09-19T07:58+02:00
USDRUB	64.1475	64.203	64.3845	64.1784	64.3554	10023	2019-09-19T07:58+02:00
USDSAR	3.7506	3.7507	3.7512	3.751	3.7507	264	2019-09-19T07:58+02:00
USDSEK	9.7251	9.7251	9.7329	9.7174	9.718	20408	2019-09-19T07:58+02:00
USDSGD	1.376	1.376	1.3794	1.3758	1.3782	11558	2019-09-19T07:58+02:00
USDTHB	30.51	30.53	30.59	30.53	30.55	338	2019-09-19T07:57+02:00
USDTRY	5.672	5.6761	5.6938	5.6715	5.6872	8433	2019-09-19T07:58+02:00
USDTWD	30.956	30.949	31.034	30.926	30.968	2078	2019-09-19T07:57+02:00
USDZAR	14.6811	14.6598	14.735	14.6748	14.72	6898	2019-09-19T07:58+02:00
XAGUSD	17.74	17.8	0	0	17.73	0	2019-09-19T07:58+02:00
XAUUSD	1493.65	1493.4	0	0	1496.553	0	2019-09-19T07:58+02:00
XPDUSD	1591.185	1591.595	0	0	1592.965	0	2019-09-19T07:58+02:00
XPTUSD	930.25	930.75	0	0	930.81	0	2019-09-19T07:58+02:00
