symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7102	0.7102	0.713	0.7	0.7044	110717	2018-10-10T22:58+02:00
BTCUSD	6588.71	0	6589.79	6387.9102	6531.9302	4979	2018-10-10T22:58+02:00
EURUSD	1.1489	1.1489	1.1545	1.15	1.1516	127113	2018-10-10T22:58+02:00
GBPUSD	1.3142	1.3142	1.3216	1.31	1.3189	188962	2018-10-10T22:58+02:00
ILSUSD	3.6352	3.6342	3.638	3.62	3.6298	18077	2018-10-10T22:57+02:00
NZDUSD	0.6472	0.6472	0.6496	0.64	0.6443	52992	2018-10-10T22:58+02:00
USDARS	36.85	36.87	37.45	37.13	37.17	1034	2018-10-10T20:04+02:00
USDBGN	1.7016	1.702	1.7075	1.69	1.6981	49661	2018-10-10T22:58+02:00
USDBHD	0.37676	0.3768	0.377	0.38	0.3768	886	2018-10-10T22:57+02:00
USDBRL	3.7153	3.7153	3.7678	3.71	3.757	57243	2018-10-10T22:58+02:00
USDCAD	1.2945	1.2944	1.3069	1.29	1.3066	85170	2018-10-10T22:58+02:00
USDCHF	0.9917	0.9919	0.9933	0.99	0.99	53719	2018-10-10T22:58+02:00
USDCLP	680.52	680.52	688.02	680.56	688.02	9551	2018-10-10T22:57+02:00
USDCNH	6.9159	6.916	6.9352	6.91	6.9266	138345	2018-10-10T22:58+02:00
USDCNY	6.9217	6.9209	6.924	6.92	6.9224	3258	2018-10-10T17:26+02:00
USDCOP	3060.1	3058.4199	3098	3060.6899	3092.75	5040	2018-10-10T22:57+02:00
USDCZK	22.455	22.456	22.513	22.4	22.465	43925	2018-10-10T22:58+02:00
USDDKK	6.4916	6.492	6.498	6.46	6.4763	102126	2018-10-10T22:58+02:00
USDHKD	7.8331	7.8332	7.8378	7.83	7.8375	9153	2018-10-10T22:58+02:00
USDHUF	282.17	282.12	283.09	281.87	282.67	87005	2018-10-10T22:58+02:00
USDIDR	15225	15180	15225	15200	15198	135	2018-10-10T10:59+02:00
USDINR	74.33	74.15	74.2825	74.06	74.24	1426	2018-10-10T20:33+02:00
USDJPY	112.94	112.95	113.28	112.3	112.3	105769	2018-10-10T22:58+02:00
USDKRW	1131.12	1131.12	1143.5601	1130.12	1142.49	18913	2018-10-10T22:58+02:00
USDMXN	19.038	19.038	19.175	18.98	19.15	98196	2018-10-10T22:58+02:00
USDMYR	4.155	4.153	4.153	4.15	4.1515	23	2018-10-10T10:54+02:00
USDNOK	8.2656	8.2646	8.2685	8.19	8.2363	102249	2018-10-10T22:58+02:00
USDPEN	3.324	3.3247	3.331	3.32	3.3285	3890	2018-10-10T21:09+02:00
USDPHP	54.15	54.166	54.24	54.1	54.13	688	2018-10-10T19:22+02:00
USDPLN	3.7457	3.7456	3.7531	3.74	3.7495	62068	2018-10-10T22:57+02:00
USDRON	4.0531	4.0532	4.0615	4.04	4.0492	52261	2018-10-10T22:58+02:00
USDRUB	66.2175	66.2175	66.9006	66.01	66.873	69127	2018-10-10T22:50+02:00
USDSAR	3.7506	3.7502	3.7507	3.75	3.7506	4225	2018-10-10T22:58+02:00
USDSEK	9.1036	9.1021	9.147	9.08	9.1431	77927	2018-10-10T22:58+02:00
USDSGD	1.3819	1.3826	1.3838	1.38	1.3833	25475	2018-10-10T22:57+02:00
USDTHB	32.94	32.93	33.02	32.83	32.99	19798	2018-10-10T22:58+02:00
USDTRY	6.1001	6.0996	6.1311	6.02	6.0759	114478	2018-10-10T22:57+02:00
USDTWD	30.958	30.958	31.099	30.95	31.078	14512	2018-10-10T22:57+02:00
USDZAR	14.5524	14.5462	14.79	14.53	14.7698	99558	2018-10-10T22:58+02:00
XAGUSD	14.37	14.345	0	0	14.26	0	2018-10-10T22:58+02:00
XAUUSD	1189.17	1189.17	0	0	1194.14	0	2018-10-10T22:58+02:00
XPDUSD	1069.15	1071.7	0	0	1065.5	0	2018-10-10T22:57+02:00
XPTUSD	824	823.5	0	0	822.3	0	2018-10-10T22:57+02:00
