symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7073	0.7072	0.7187	0.7072	0.7184	83942	2018-11-01T15:25+02:00
BTCUSD	6303.27	0	6312	6288.0098	6302.2202	984	2018-11-01T15:25+02:00
EURUSD	1.131	1.1309	1.1404	1.1308	1.1391	95200	2018-11-01T15:25+02:00
GBPUSD	1.2765	1.2767	1.2934	1.2762	1.2915	149917	2018-11-01T15:25+02:00
ILSUSD	3.7172	3.7164	3.7213	3.7009	3.7083	9877	2018-11-01T15:25+02:00
NZDUSD	0.6515	0.6516	0.6631	0.6516	0.6624	36202	2018-11-01T15:25+02:00
USDARS	35.89	35.854	35.854	35.929	35.6	10	2018-11-01T15:24+02:00
USDBGN	1.7287	1.7288	1.7295	1.7151	1.7167	26717	2018-11-01T15:25+02:00
USDBHD	0.37669	0.3767	0.377	0.377	0.3768	785	2018-11-01T15:25+02:00
USDBRL	3.7218	3.7219	3.7229	3.6884	3.6954	11616	2018-11-01T15:25+02:00
USDCAD	1.3152	1.3154	1.3169	1.3073	1.307	54017	2018-11-01T15:25+02:00
USDCHF	1.0084	1.0083	1.0089	1.0023	1.0036	50188	2018-11-01T15:25+02:00
USDCLP	695.66	695.66	695.66	689.17	689.57	1232	2018-11-01T15:25+02:00
USDCNH	6.9733	6.9731	6.9803	6.9359	6.9361	95471	2018-11-01T15:25+02:00
USDCNY	6.9737	6.9657	6.9695	6.9387	6.9367	3119	2018-11-01T15:23+02:00
USDCOP	3215.13	3215.1299	3218.75	3194.25	3188.25	1095	2018-11-01T15:25+02:00
USDCZK	22.913	22.911	22.927	22.686	22.693	28413	2018-11-01T15:25+02:00
USDDKK	6.5953	6.5943	6.5981	6.5421	6.5484	74583	2018-11-01T15:25+02:00
USDHKD	7.841	7.8409	7.8437	7.8361	7.8372	7716	2018-11-01T15:25+02:00
USDHUF	286.72	286.83	287.15	283.35	283.3	35372	2018-11-01T15:25+02:00
USDIDR	15200	15180	15198	15130	15125	131	2018-11-01T10:59+02:00
USDINR	73.95	73.85	73.8675	73.46	73.45	1446	2018-11-01T13:30+02:00
USDJPY	112.93	112.93	112.99	112.73	112.82	76451	2018-11-01T15:25+02:00
USDKRW	1141.02	1141.03	1141.92	1127.33	1127.5699	13066	2018-11-01T15:25+02:00
USDMXN	20.3295	20.3295	20.3381	20.14	20.1535	72265	2018-11-01T15:25+02:00
USDMYR	4.183	4.182	4.183	4.182	4.177	17	2018-11-01T11:12+02:00
USDNOK	8.4342	8.4347	8.4382	8.3463	8.3468	70610	2018-11-01T15:25+02:00
USDPEN	3.3668	3.3668	3.3668	3.3746	3.3668	1	2018-11-01T13:28+02:00
USDPHP	53.367	53.35	53.35	53.162	53.229	1883	2018-11-01T15:25+02:00
USDPLN	3.8384	3.8385	3.8402	3.7925	3.7977	33858	2018-11-01T15:25+02:00
USDRON	4.1199	4.121	4.123	4.0906	4.0912	31720	2018-11-01T15:25+02:00
USDRUB	65.865	65.8743	65.877	65.57	65.694	32784	2018-11-01T15:25+02:00
USDSAR	3.7509	3.7511	3.7511	3.7511	3.7509	2743	2018-11-01T15:25+02:00
USDSEK	9.1656	9.164	9.1709	9.0344	9.0599	52550	2018-11-01T15:25+02:00
USDSGD	1.3854	1.3854	1.3861	1.3779	1.3777	18508	2018-11-01T15:25+02:00
USDTHB	33.11	33.1	33.13	32.92	32.92	10161	2018-11-01T15:25+02:00
USDTRY	5.5793	5.5824	5.6482	5.531	5.5443	52936	2018-11-01T15:25+02:00
USDTWD	30.932	30.935	30.954	30.753	30.775	11361	2018-11-01T15:25+02:00
USDZAR	14.7848	14.7624	14.7893	14.5147	14.5797	49531	2018-11-01T15:25+02:00
XAGUSD	14.221	14.235	0	0	14.57	0	2018-11-01T15:25+02:00
XAUUSD	1214.14	1214.77	0	0	1229.49	0	2018-11-01T15:25+02:00
XPDUSD	1078.5	1077	0	0	1094.59	0	2018-11-01T15:25+02:00
XPTUSD	836	833	0	0	851.53	0	2018-11-01T15:25+02:00
