symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7567	0.7567	0.7573	0.75	0.7538	79147	2018-06-01T15:29+02:00
BTCUSD	7487.5	0	7620.0098	7348.4502	7415.1001	4793	2018-06-01T15:29+02:00
EURUSD	1.169	1.1691	1.1717	1.16	1.1677	117899	2018-06-01T15:29+02:00
GBPUSD	1.3298	1.3298	1.3337	1.33	1.3313	134228	2018-06-01T15:29+02:00
ILSUSD	3.5585	3.56	3.5686	3.55	3.5509	6628	2018-06-01T15:27+02:00
NZDUSD	0.6997	0.6998	0.7019	0.7	0.6967	38609	2018-06-01T15:29+02:00
USDARS	24.941	24.943	24.97	24.97	24.965	30	2018-06-01T15:28+02:00
USDBGN	1.6723	1.6723	1.6789	1.67	1.6746	41084	2018-06-01T15:29+02:00
USDBHD	0.3775	0.3775	0.3778	0.38	0.3777	3041	2018-06-01T15:27+02:00
USDBRL	3.7225	3.7247	3.7602	3.72	3.7314	10914	2018-06-01T15:29+02:00
USDCAD	1.2956	1.2955	1.3007	1.29	1.296	65187	2018-06-01T15:29+02:00
USDCHF	0.9857	0.9855	0.9909	0.98	0.9908	46882	2018-06-01T15:29+02:00
USDCLP	630.39	630.39	634.16	630.79	631.02	2687	2018-06-01T15:29+02:00
USDCNH	6.4072	6.4071	6.4156	6.4	6.4108	62882	2018-06-01T15:29+02:00
USDCNY	6.4096	6.4074	6.4188	6.41	6.4188	3044	2018-06-01T15:16+02:00
USDCOP	2889.7	2890.8799	2893.01	2863.6399	2861.5	1435	2018-06-01T15:29+02:00
USDCZK	22.079	22.078	22.168	22.03	22.09	26267	2018-06-01T15:29+02:00
USDDKK	6.3642	6.3652	6.3899	6.35	6.3726	61129	2018-06-01T15:29+02:00
USDHKD	7.8431	7.8431	7.8462	7.84	7.8449	6071	2018-06-01T15:29+02:00
USDHUF	273.23	273.21	274.62	272.81	273.64	36128	2018-06-01T15:29+02:00
USDIDR	13890	0	0	0	13890	0	2018-05-31T11:00+02:00
USDINR	67.42	67.45	67.45	67.01	67.095	1503	2018-06-01T15:27+02:00
USDJPY	108.81	108.8	109.72	108.73	109.62	80811	2018-06-01T15:29+02:00
USDKRW	1079.59	1079.59	1080.3101	1072.91	1073.64	13893	2018-06-01T15:29+02:00
USDMXN	19.908	19.9002	19.9931	19.84	19.8427	72612	2018-06-01T15:29+02:00
USDMYR	3.978	3.977	3.983	3.98	3.977	55	2018-06-01T11:36+02:00
USDNOK	8.1772	8.1779	8.1964	8.14	8.1668	60874	2018-06-01T15:29+02:00
USDPEN	3.271	3.27	3.27	3.27	3.268	17	2018-06-01T15:28+02:00
USDPHP	52.541	52.541	52.657	52.52	52.527	2266	2018-06-01T15:29+02:00
USDPLN	3.6913	3.6911	3.707	3.68	3.6934	26218	2018-06-01T15:29+02:00
USDRON	3.9838	3.9829	4.001	3.98	3.9911	18558	2018-06-01T15:29+02:00
USDRUB	62.3496	62.3296	62.4905	61.94	62.0634	35259	2018-06-01T15:29+02:00
USDSAR	3.7502	3.7503	3.7503	3.75	3.7503	3067	2018-06-01T14:48+02:00
USDSEK	8.8123	8.8121	8.8409	8.77	8.8255	60352	2018-06-01T15:29+02:00
USDSGD	1.3374	1.3375	1.34	1.34	1.3385	20195	2018-06-01T15:29+02:00
USDTHB	32.05	32.04	32.12	31.98	32.01	8157	2018-06-01T15:29+02:00
USDTRY	4.5235	4.523	4.6417	4.52	4.596	80302	2018-06-01T15:29+02:00
USDTWD	29.973	29.978	29.998	29.79	29.864	12136	2018-06-01T15:29+02:00
USDZAR	12.695	12.6856	12.7581	12.58	12.6315	47826	2018-06-01T15:29+02:00
XAGUSD	16.35	16.4	0	0	16.414	0	2018-06-01T15:28+02:00
XAUUSD	1297.92	1298.58	0	0	1293.67	0	2018-06-01T15:29+02:00
XPDUSD	985	986.5	0	0	989.47	0	2018-06-01T15:29+02:00
XPTUSD	901.5	902	0	0	906.4	0	2018-06-01T15:29+02:00
