symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.6957	0.6958	0.6994	0.6952	0.6982	58059	2019-06-26T15:25+02:00
BTCUSD	11751	0	12935.5801	11647.0703	12803.5098	14033	2019-06-26T15:25+02:00
EURUSD	1.1365	1.1364	1.1374	1.1352	1.1358	47924	2019-06-26T15:25+02:00
GBPUSD	1.2697	1.2698	1.2707	1.2664	1.2677	80687	2019-06-26T15:25+02:00
ILSUSD	3.5975	3.5981	3.6023	3.5894	3.5944	11315	2019-06-26T15:25+02:00
NZDUSD	0.6638	0.6636	0.6685	0.661	0.6684	32638	2019-06-26T15:25+02:00
USDARS	42.328	42.341	42.52	42.3	42.45	71	2019-06-26T15:24+02:00
USDBGN	1.7205	1.7204	1.7229	1.7198	1.7213	18296	2019-06-26T15:25+02:00
USDBHD	0.37672	0.3769	0.377	0.377	0.3766	117	2019-06-26T15:15+02:00
USDBRL	3.8478	3.8468	3.8473	3.8307	3.8399	11085	2019-06-26T15:25+02:00
USDCAD	1.3167	1.3165	1.3193	1.3142	1.3154	57242	2019-06-26T15:25+02:00
USDCHF	0.9752	0.9753	0.9784	0.9744	0.9775	37392	2019-06-26T15:25+02:00
USDCLP	681.35	681.35	681.35	679.3	680.22	1579	2019-06-26T15:25+02:00
USDCNH	6.8831	6.8836	6.8914	6.8668	6.8824	64617	2019-06-26T15:25+02:00
USDCNY	6.8791	6.8856	6.8918	6.8701	6.8784	5280	2019-06-26T15:23+02:00
USDCOP	3185.85	3188.3999	3190.1499	3181	3180.77	653	2019-06-26T15:25+02:00
USDCZK	22.396	22.389	22.459	22.36	22.416	30107	2019-06-26T15:25+02:00
USDDKK	6.5674	6.5676	6.576	6.564	6.5709	71640	2019-06-26T15:25+02:00
USDHKD	7.8101	7.81	7.8116	7.8057	7.8087	8487	2019-06-26T15:25+02:00
USDHUF	284.3	284.21	284.99	284.36	284.83	48413	2019-06-26T15:25+02:00
USDIDR	14120	14130	14180	14140	14170	50	2019-06-26T10:59+02:00
USDINR	69.3137	69.315	69.5129	69.115	69.228	4456	2019-06-26T15:25+02:00
USDJPY	107.17	107.18	107.75	107.11	107.6	57977	2019-06-26T15:25+02:00
USDKRW	1155.17	1155.17	1160.05	1152.38	1154.42	14099	2019-06-26T15:25+02:00
USDMXN	19.2195	19.2229	19.2588	19.1603	19.1903	27489	2019-06-26T15:25+02:00
USDMYR	4.144	4.144	4.152	4.147	4.145	35	2019-06-26T11:54+02:00
USDNOK	8.532	8.5322	8.5513	8.5	8.5102	42660	2019-06-26T15:25+02:00
USDPEN	3.2995	3.2935	3.3024	3.3	3.2982	24	2019-06-26T15:20+02:00
USDPHP	51.44	51.41	51.56	51.375	51.424	2693	2019-06-26T15:25+02:00
USDPLN	3.7441	3.7442	3.7565	3.7422	3.7518	44224	2019-06-26T15:25+02:00
USDRON	4.1485	4.1472	4.158	4.1505	4.1554	30617	2019-06-26T15:25+02:00
USDRUB	62.8688	62.866	63.2235	62.7445	63.1175	38909	2019-06-26T15:25+02:00
USDSAR	3.7502	3.7502	3.7505	3.7502	3.7502	2462	2019-06-26T15:25+02:00
USDSEK	9.2768	9.2768	9.2987	9.2598	9.2741	48450	2019-06-26T15:25+02:00
USDSGD	1.3543	1.3548	1.356	1.3533	1.3539	20862	2019-06-26T15:25+02:00
USDTHB	30.7	30.76	30.87	30.71	30.75	932	2019-06-26T14:54+02:00
USDTRY	5.7939	5.7899	5.8157	5.7495	5.765	50128	2019-06-26T15:25+02:00
USDTWD	31.072	31.051	31.17	30.984	31.07	10714	2019-06-26T15:25+02:00
USDZAR	14.3398	14.3483	14.371	14.2675	14.2971	41528	2019-06-26T15:25+02:00
XAGUSD	15.365	15.3515	0	0	15.2846	0	2019-06-26T15:25+02:00
XAUUSD	1422.85	1423.51	0	0	1408.77	0	2019-06-26T15:25+02:00
XPDUSD	1528	1527.5	0	0	1533.76	0	2019-06-26T15:25+02:00
XPTUSD	806	805.5	0	0	802.87	0	2019-06-26T15:25+02:00
