symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7609	0.7609	0.7623	0.76	0.7611	58399	2018-06-12T15:29+02:00
BTCUSD	6874.59	0	6880.7598	6708.0098	6739	3614	2018-06-12T15:29+02:00
EURUSD	1.1782	1.1782	1.1809	1.17	1.1792	100473	2018-06-12T15:29+02:00
GBPUSD	1.3373	1.338	1.3418	1.33	1.3358	101696	2018-06-12T15:29+02:00
ILSUSD	3.5676	3.5681	3.5813	3.57	3.5778	9951	2018-06-12T15:28+02:00
NZDUSD	0.7025	0.7024	0.7045	0.7	0.7031	34812	2018-06-12T15:29+02:00
USDARS	26.01	26.01	26.01	25.95	25.93	96	2018-06-12T15:28+02:00
USDBGN	1.6595	1.6598	1.6658	1.66	1.6588	36729	2018-06-12T15:29+02:00
USDBHD	0.37753	0.3775	0.3776	0.38	0.3776	3121	2018-06-12T15:29+02:00
USDBRL	3.7087	3.7064	3.7219	3.69	3.7213	12292	2018-06-12T15:29+02:00
USDCAD	1.2976	1.2976	1.3018	1.3	1.2995	59655	2018-06-12T15:29+02:00
USDCHF	0.9851	0.9851	0.9883	0.98	0.984	32825	2018-06-12T15:29+02:00
USDCLP	633.14	633.14	633.5	631	633.4	1149	2018-06-12T15:29+02:00
USDCNH	6.3979	6.3977	6.408	6.39	6.3987	53350	2018-06-12T15:29+02:00
USDCNY	6.4	6.4075	6.4087	6.4	6.4044	3387	2018-06-12T15:24+02:00
USDCOP	2862.75	2862.75	2867.99	2847.5	2846.5	784	2018-06-12T15:28+02:00
USDCZK	21.746	21.757	21.82	21.7	21.735	30040	2018-06-12T15:29+02:00
USDDKK	6.3215	6.3213	6.3447	6.31	6.3176	54777	2018-06-12T15:29+02:00
USDHKD	7.8464	7.8464	7.8471	7.85	7.847	6482	2018-06-12T15:29+02:00
USDHUF	272.25	272.16	273.35	271.06	271.15	44449	2018-06-12T15:29+02:00
USDIDR	13925	0	0	0	13925	0	2018-06-08T10:59+02:00
USDINR	67.465	67.45	67.505	67.36	67.445	1304	2018-06-12T14:53+02:00
USDJPY	110.02	110.02	110.49	110	110.23	56445	2018-06-12T15:29+02:00
USDKRW	1075.88	1075.88	1079.5	1073	1077.14	14627	2018-06-12T15:29+02:00
USDMXN	20.588	20.591	20.6325	20.52	20.6069	52674	2018-06-12T15:29+02:00
USDMYR	3.986	3.9855	3.992	3.99	3.988	16	2018-06-12T11:00+02:00
USDNOK	8.0406	8.0415	8.0717	7.99	8.0054	59527	2018-06-12T15:29+02:00
USDPEN	3.2612	3.2637	3.27	3.27	3.27	41	2018-06-12T15:27+02:00
USDPHP	53.097	53.099	53.147	53	53.033	2834	2018-06-12T15:29+02:00
USDPLN	3.6197	3.62	3.6346	3.62	3.6245	32024	2018-06-12T15:29+02:00
USDRON	3.9542	3.9542	3.9693	3.95	3.9484	37071	2018-06-12T15:29+02:00
USDRUB	62.7727	62.8379	62.9169	62.61	62.703	5531	2018-06-12T15:29+02:00
USDSAR	3.7501	3.7501	3.7501	3.75	3.7501	8402	2018-06-12T15:29+02:00
USDSEK	8.6609	8.6613	8.6904	8.59	8.6025	47237	2018-06-12T15:29+02:00
USDSGD	1.3347	1.3345	1.3376	1.33	1.3347	15810	2018-06-12T15:29+02:00
USDTHB	32.04	32.05	32.12	32.03	32.09	7611	2018-06-12T15:29+02:00
USDTRY	4.521	4.5195	4.5777	4.52	4.551	117920	2018-06-12T15:29+02:00
USDTWD	29.819	29.819	29.891	29.81	29.837	9822	2018-06-12T15:29+02:00
USDZAR	13.1579	13.1553	13.2452	13.14	13.2088	33603	2018-06-12T15:29+02:00
XAGUSD	16.887	16.894	0	0	16.85	0	2018-06-12T15:28+02:00
XAUUSD	1299.74	1299.6899	0	0	1297.46	0	2018-06-12T15:29+02:00
XPDUSD	1022	1022	0	0	1020	0	2018-06-12T15:29+02:00
XPTUSD	903.9	899	0	0	906.8	0	2018-06-12T15:29+02:00
