symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7254	0.7252	0.7257	0.7245	0.7248	40775	2018-11-23T08:55+02:00
BTCUSD	4262.93	0	4319.4399	4061.02	4236.4702	6018	2018-11-23T08:55+02:00
EURUSD	1.1407	1.1402	1.1421	1.14	1.1414	31611	2018-11-23T08:55+02:00
GBPUSD	1.2876	1.2877	1.2882	1.2868	1.2874	66177	2018-11-23T08:55+02:00
ILSUSD	3.7372	3.7372	3.738	3.7366	3.7347	1127	2018-11-23T08:55+02:00
NZDUSD	0.6811	0.6812	0.6819	0.6803	0.6816	16001	2018-11-23T08:55+02:00
USDARS	36.41	0	0	0	36.41	0	2018-11-22T20:00+02:00
USDBGN	1.7142	1.7147	1.7158	1.7128	1.7128	17690	2018-11-23T08:55+02:00
USDBHD	0.37673	0.3767	0.377	0.377	0.3767	82	2018-11-23T08:45+02:00
USDBRL	3.8033	0	0	0	3.8033	0	2018-11-22T22:46+02:00
USDCAD	1.3188	1.3185	1.3209	1.3184	1.3204	27833	2018-11-23T08:55+02:00
USDCHF	0.9943	0.9941	0.9951	0.9936	0.9942	24613	2018-11-23T08:55+02:00
USDCLP	668.08	668.08	668.08	668.73	668.08	373	2018-11-23T08:55+02:00
USDCNH	6.9248	6.9253	6.9345	6.9244	6.9325	36762	2018-11-23T08:55+02:00
USDCNY	6.9303	6.932	6.9409	6.934	6.9385	2154	2018-11-23T08:55+02:00
USDCOP	3187.25	3187.25	3187.25	3194.75	3187.25	373	2018-11-23T08:55+02:00
USDCZK	22.777	22.777	22.811	22.776	22.773	9819	2018-11-23T08:55+02:00
USDDKK	6.5431	6.5432	6.5453	6.5339	6.5358	26278	2018-11-23T08:55+02:00
USDHKD	7.8304	7.8303	7.8303	7.8236	7.8266	3875	2018-11-23T08:55+02:00
USDHUF	281.34	281.48	281.82	281.38	281.32	21111	2018-11-23T08:55+02:00
USDIDR	14575	14550	14557	14520	14520	79	2018-11-23T08:50+02:00
USDINR	70.685	70.67	70.67	70.66	70.65	3	2018-11-23T06:42+02:00
USDJPY	112.93	112.93	113.01	112.83	112.84	33891	2018-11-23T08:55+02:00
USDKRW	1130.8	1129	1131.89	1128.58	1130.3	7348	2018-11-23T08:55+02:00
USDMXN	20.3075	20.308	20.3371	20.308	20.3212	9114	2018-11-23T08:55+02:00
USDMYR	4.194	4.196	4.196	4.196	4.195	10	2018-11-23T08:12+02:00
USDNOK	8.53	8.5296	8.5383	8.5279	8.5336	22379	2018-11-23T08:55+02:00
USDPEN	3.375	0	0	0	3.375	0	2018-11-22T22:55+02:00
USDPHP	52.31	52.33	52.44	52.31	52.34	112	2018-11-23T08:44+02:00
USDPLN	3.7661	3.766	3.7681	3.7594	3.7607	15875	2018-11-23T08:55+02:00
USDRON	4.0825	4.0825	4.0849	4.0817	4.0786	14284	2018-11-23T08:55+02:00
USDRUB	65.5896	65.6214	65.8795	65.5525	65.8645	16806	2018-11-23T08:55+02:00
USDSAR	3.7515	3.7514	3.752	3.752	3.752	678	2018-11-23T08:45+02:00
USDSEK	9.0394	9.0406	9.0414	9.0313	9.0302	9872	2018-11-23T08:55+02:00
USDSGD	1.3725	1.3728	1.3736	1.3723	1.3727	5369	2018-11-23T08:55+02:00
USDTHB	32.97	32.96	33	32.95	33	3295	2018-11-23T08:55+02:00
USDTRY	5.286	5.286	5.3111	5.282	5.3051	14108	2018-11-23T08:55+02:00
USDTWD	30.86	30.882	30.92	30.816	30.902	1333	2018-11-23T08:55+02:00
USDZAR	13.7463	13.7575	13.7937	13.74	13.791	18711	2018-11-23T08:55+02:00
XAGUSD	14.48	14.481	0	0	14.418	0	2018-11-23T08:55+02:00
XAUUSD	1226.7	1226.58	0	0	1226.46	0	2018-11-23T08:55+02:00
XPDUSD	1153	1154.1	0	0	1149	0	2018-11-23T08:55+02:00
XPTUSD	843.7	843	0	0	841.24	0	2018-11-23T08:55+02:00
