symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.8054	0.8055	0.8067	0.8	0.8018	34688	2018-02-01 08:56
BTCUSD	10153.58	0	10187.5596	9836	10035.2695	2299	2018-02-01 08:56
ETHUSD	1111.9	0	0	0	1130	155204	2018-01-31 01:00
EURUSD	1.242	1.2412	1.2429	1.24	1.2396	41141	2018-02-01 08:56
GBPUSD	1.419	1.419	1.4212	1.42	1.4164	60734	2018-02-01 08:56
ILSUSD	3.4183	3.4169	3.4216	3.42	3.4195	1411	2018-02-01 08:56
NZDUSD	0.7363	0.7357	0.7381	0.73	0.7347	20129	2018-02-01 08:56
USDBRL	3.1858	0	0	0	3.1858	0	2018-01-31 23:30
USDCAD	1.2313	1.2313	1.232	1.23	1.2316	27417	2018-02-01 08:56
USDCHF	0.9312	0.9312	0.9334	0.93	0.9331	13997	2018-02-01 08:56
USDCNY	6.2841	6.293	6.2988	6.29	6.296	671	2018-02-01 08:55
USDCZK	20.347	20.352	20.392	20.34	20.391	13093	2018-02-01 08:56
USDDKK	5.9947	5.9948	6.0041	5.99	6.0032	30347	2018-02-01 08:56
USDHKD	7.8226	7.8229	7.8229	7.82	7.8206	2244	2018-02-01 08:56
USDHUF	249.53	249.44	249.95	249.26	249.78	19207	2018-02-01 08:56
USDINR	63.54	63.64	63.92	63.56	63.83	686	2018-02-01 08:55
USDJPY	109.17	109.18	109.54	109.1	109.52	42633	2018-02-01 08:56
USDKRW	1069.08	1069.12	1073.9	1068.6	1071.59	9276	2018-02-01 08:56
USDMXN	18.5905	18.5905	18.639	18.58	18.636	26732	2018-02-01 08:56
USDMYR	3.8995	0	0	0	3.8995	0	2018-01-30 12:03
USDNOK	7.7105	7.7118	7.722	7.7	7.7202	22583	2018-02-01 08:56
USDPLN	3.3446	3.3448	3.3497	3.34	3.3485	14212	2018-02-01 08:56
USDRUB	56.1872	56.1574	56.2599	56.06	56.2438	10403	2018-02-01 08:56
USDSAR	3.7501	3.75	3.7502	3.75	3.7498	723	2018-02-01 08:55
USDSEK	7.8773	7.8763	7.8913	7.87	7.8897	9232	2018-02-01 08:56
USDSGD	1.3117	1.3118	1.3134	1.31	1.3132	7865	2018-02-01 08:56
USDTHB	31.34	31.33	31.38	31.31	31.36	3510	2018-02-01 08:55
USDTRY	3.7543	3.7537	3.7644	3.75	3.7628	17243	2018-02-01 08:56
USDTWD	29.161	29.137	29.172	29.12	29.161	1466	2018-02-01 08:55
USDZAR	11.8575	11.86	11.8975	11.85	11.885	15474	2018-02-01 08:56
XAGUSD	17.31	17.332	0	0	17.23	0	2018-02-01 08:56
XAUUSD	1344.7	1344.7	0	0	1341.6	0	2018-02-01 08:56
XPDUSD	1028.1	1028.2	0	0	1023	0	2018-02-01 08:56
XPTUSD	1000	1001.3	0	0	991.5	0	2018-02-01 08:55
XRPUSD	1.1229	1.13	1.15	1.06	1.11	17458151	2018-02-01 08:55
