symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7049	0.7047	0.7066	0.7046	0.7052	3835	2019-01-01T23:58+02:00
BTCUSD	3693.85	0	3747.6799	3629.6599	3717.52	4306	2019-01-01T23:58+02:00
EURUSD	1.1469	1.1464	1.1479	1.1426	1.1462	5223	2019-01-01T23:58+02:00
GBPUSD	1.2757	1.2759	1.2763	1.2726	1.2751	4536	2019-01-01T23:52+02:00
ILSUSD	3.7355	3.7355	3.7355	3.7349	3.7329	8	2019-01-01T07:50+02:00
NZDUSD	0.6717	0.6717	0.6723	0.6708	0.6715	364	2019-01-01T23:58+02:00
USDARS	37.619	0	0	0	37.619	0	2018-12-31T20:07+02:00
USDBGN	1.7052	1.7048	1.7119	1.6936	1.7062	26578	2019-01-01T23:58+02:00
USDBHD	0.37673	0.3769	0.3769	0.377	0.3769	2	2019-01-01T16:00+02:00
USDBRL	3.8804	0	0	0	3.8804	0	2018-12-28T22:12+02:00
USDCAD	1.3637	1.3634	1.3644	1.3634	1.3633	282	2019-01-01T23:58+02:00
USDCHF	0.9814	0.9814	0.9817	0.9818	0.9816	137	2019-01-01T22:58+02:00
USDCLP	692.85	692.85	692.85	695.15	692.85	199	2019-01-01T23:49+02:00
USDCNH	6.8693	6.8696	6.8697	6.8697	6.8675	27	2019-01-01T22:07+02:00
USDCNY	6.8755	0	0	0	6.8755	0	2018-12-28T17:15+02:00
USDCOP	3245	3245	3246	3250	3245	200	2019-01-01T23:49+02:00
USDCZK	22.415	22.415	22.466	22.425	22.434	3571	2019-01-01T23:58+02:00
USDDKK	6.5107	6.5106	6.5175	6.5111	6.5123	2814	2019-01-01T23:57+02:00
USDHKD	7.8315	7.8312	7.8318	7.8313	7.8311	34	2019-01-01T21:32+02:00
USDHUF	279.73	279.73	280.37	280.09	280.09	2350	2019-01-01T23:58+02:00
USDIDR	14375	0	0	0	14375	0	2018-12-31T10:59+02:00
USDINR	69.56	69.63	69.74	69.44	69.4475	1175	2019-01-01T13:31+02:00
USDJPY	109.56	109.56	109.78	109.59	109.73	4094	2019-01-01T23:57+02:00
USDKRW	1113.3	1113.3	1113.95	1113.6899	1111.83	1577	2019-01-01T23:05+02:00
USDMXN	19.6403	19.643	19.6463	19.647	19.643	1903	2019-01-01T23:57+02:00
USDMYR	4.13	0	0	0	4.13	0	2018-12-31T11:49+02:00
USDNOK	8.6387	8.6404	8.6546	8.6373	8.6434	1441	2019-01-01T23:58+02:00
USDPEN	3.368	0	0	0	3.368	0	2018-12-31T22:00+02:00
USDPHP	52.47	52.47	52.473	52.107	52.095	436	2019-01-01T16:24+02:00
USDPLN	3.7397	3.7404	3.753	3.7378	3.7404	17833	2019-01-01T23:58+02:00
USDRON	4.0561	4.0561	4.0725	4.0351	4.058	2658	2019-01-01T23:58+02:00
USDRUB	69.68	0	0	0	69.68	0	2018-12-31T13:42+02:00
USDSAR	3.7509	3.7509	3.7511	3.7515	3.7509	15319	2019-01-01T23:58+02:00
USDSEK	8.8524	8.8536	8.8752	8.8566	8.8695	35	2019-01-01T23:58+02:00
USDSGD	1.3627	1.3627	1.3649	1.3624	1.3632	3347	2019-01-01T23:58+02:00
USDTHB	32.33	32.32	32.36	32.01	32.04	4042	2019-01-01T23:57+02:00
USDTRY	5.2877	5.2886	5.2887	5.2725	5.253	1849	2019-01-01T23:02+02:00
USDTWD	30.563	30.524	30.609	30.537	30.533	395	2019-01-01T23:49+02:00
USDZAR	14.3473	14.3465	14.4	14.3296	14.383	182	2019-01-01T23:58+02:00
XAGUSD	15.443	0	0	0	15.443	0	2018-12-31T23:58+02:00
XAUUSD	1282.17	0	0	0	1282.17	0	2018-12-31T23:58+02:00
XPDUSD	1264	0	0	0	1264	0	2019-01-01T00:01+02:00
XPTUSD	791.5	0	0	0	791.5	0	2019-01-01T00:00+02:00
