symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7167	0.7163	0.7185	0.7142	0.7144	74582	2019-01-21T16:29+02:00
BTCUSD	3533.69	0	3573.29	3505.8601	3535.1499	2957	2019-01-21T16:29+02:00
EURUSD	1.1361	1.1369	1.1407	1.1356	1.1358	87572	2019-01-21T16:29+02:00
GBPUSD	1.2873	1.2882	1.2903	1.2831	1.2868	117100	2019-01-21T16:29+02:00
ILSUSD	3.688	3.6867	3.699	3.6897	3.6967	9881	2019-01-21T16:28+02:00
NZDUSD	0.6741	0.6741	0.6762	0.6715	0.6718	28871	2019-01-21T16:29+02:00
USDARS	37.575	37.62	37.62	37.9	37.62	14	2019-01-21T15:52+02:00
USDBGN	1.7192	1.7199	1.7222	1.7146	1.7217	22356	2019-01-21T16:29+02:00
USDBHD	0.377	0.377	0.377	0.377	0.377	794	2019-01-21T16:11+02:00
USDBRL	3.7502	3.7594	3.7796	3.7594	3.7744	17640	2019-01-21T16:29+02:00
USDCAD	1.3257	1.3246	1.3317	1.3251	1.3309	66286	2019-01-21T16:29+02:00
USDCHF	0.9955	0.9939	0.9987	0.9945	0.9975	25496	2019-01-21T16:29+02:00
USDCLP	670.83	670.83	673.85	671.41	672.6	1351	2019-01-21T16:29+02:00
USDCNH	6.8015	6.8021	6.8087	6.792	6.805	67529	2019-01-21T16:29+02:00
USDCNY	6.7765	6.7916	6.7969	6.7835	6.7929	4644	2019-01-21T16:28+02:00
USDCOP	3121.75	3121.75	3128.75	3126.25	3128.75	423	2019-01-21T16:11+02:00
USDCZK	22.503	22.52	22.538	22.459	22.527	19947	2019-01-21T16:29+02:00
USDDKK	6.5689	6.5668	6.5741	6.5532	6.5717	59857	2019-01-21T16:29+02:00
USDHKD	7.8432	7.8435	7.8459	7.8429	7.8448	4250	2019-01-21T16:28+02:00
USDHUF	279.67	279.56	279.91	279.2	279.66	37646	2019-01-21T16:29+02:00
USDIDR	14170	14180	14230	14190	14220	89	2019-01-21T10:59+02:00
USDINR	71.2	71.194	71.527	71.146	71.247	3085	2019-01-21T16:25+02:00
USDJPY	109.76	109.74	109.76	109.48	109.68	59674	2019-01-21T16:29+02:00
USDKRW	1125.08	1125.0601	1131.1899	1124.23	1130.9	13803	2019-01-21T16:28+02:00
USDMXN	19.0775	19.0695	19.1915	19.0737	19.1724	32402	2019-01-21T16:29+02:00
USDMYR	4.11	0	0	0	4.11	0	2019-01-18T10:58+02:00
USDNOK	8.5543	8.5632	8.5831	8.5481	8.5723	54037	2019-01-21T16:29+02:00
USDPEN	3.317	3.319	3.323	3.32	3.323	2	2019-01-21T16:00+02:00
USDPHP	52.6	52.58	52.87	52.59	52.766	2782	2019-01-21T16:29+02:00
USDPLN	3.774	3.7749	3.7792	3.7655	3.7746	33659	2019-01-21T16:29+02:00
USDRON	4.1375	4.136	4.1486	4.1316	4.1437	23876	2019-01-21T16:29+02:00
USDRUB	66.1686	66.135	66.4711	66.1589	66.3675	41149	2019-01-21T16:29+02:00
USDSAR	3.7504	3.7504	3.7514	3.7505	3.7504	3150	2019-01-21T16:29+02:00
USDSEK	9.0253	9.0175	9.0287	8.999	9.0223	36178	2019-01-21T16:29+02:00
USDSGD	1.3585	1.358	1.3608	1.3577	1.3601	15375	2019-01-21T16:29+02:00
USDTHB	31.74	31.75	31.8	31.71	31.78	8025	2019-01-21T16:28+02:00
USDTRY	5.3273	5.3232	5.3563	5.3197	5.3393	68205	2019-01-21T16:29+02:00
USDTWD	30.864	30.86	30.903	30.83	30.879	6485	2019-01-21T16:29+02:00
USDZAR	13.838	13.838	13.9052	13.8237	13.8692	33707	2019-01-21T16:29+02:00
XAGUSD	15.32	15.322	0	0	15.22	0	2019-01-21T16:28+02:00
XAUUSD	1280.95	1281	0	0	1279.54	0	2019-01-21T16:28+02:00
XPDUSD	1376.5	1378.5	0	0	1359.42	0	2019-01-21T16:29+02:00
XPTUSD	797.5	794	0	0	792	0	2019-01-21T16:29+02:00
