symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7139	0.713	0.7159	0.713	0.7151	35461	2019-02-18T08:55+02:00
BTCUSD	3625.35	0	3713.1799	3614.8201	3696.0801	4563	2019-02-18T08:55+02:00
EURUSD	1.1293	1.1286	1.1325	1.1284	1.131	28754	2019-02-18T08:55+02:00
GBPUSD	1.2889	1.289	1.2933	1.2893	1.2911	48382	2019-02-18T08:55+02:00
ILSUSD	3.618	3.6209	3.6209	3.6145	3.6193	1663	2019-02-18T08:55+02:00
NZDUSD	0.6863	0.6875	0.6893	0.6857	0.6877	11955	2019-02-18T08:55+02:00
USDARS	38.58	0	0	0	38.58	0	2019-02-15T20:00+02:00
USDBGN	1.7306	1.7319	1.7336	1.7272	1.729	7261	2019-02-18T08:55+02:00
USDBHD	0.377	0.377	0.377	0.377	0.377	138	2019-02-18T08:54+02:00
USDBRL	3.7007	0	0	0	3.7007	0	2019-02-15T23:30+02:00
USDCAD	1.3243	1.3239	1.3269	1.3226	1.3227	24173	2019-02-18T08:55+02:00
USDCHF	1.005	1.005	1.0051	1.0029	1.0034	9040	2019-02-18T08:55+02:00
USDCLP	661.56	661.56	661.56	662.34	661.56	492	2019-02-18T08:52+02:00
USDCNH	6.7698	6.7699	6.7732	6.761	6.7678	28473	2019-02-18T08:55+02:00
USDCNY	6.768	6.7713	6.7713	6.7544	6.7594	4865	2019-02-18T08:55+02:00
USDCOP	3131.5	3131.5	3131.5	3136.5	3131.5	497	2019-02-18T08:52+02:00
USDCZK	22.709	22.721	22.75	22.68	22.692	5254	2019-02-18T08:55+02:00
USDDKK	6.6027	6.6096	6.612	6.5894	6.5963	23360	2019-02-18T08:55+02:00
USDHKD	7.8477	7.8479	7.8483	7.8472	7.8481	1165	2019-02-18T08:55+02:00
USDHUF	281.44	281.61	281.7	281.07	281.14	12130	2019-02-18T08:55+02:00
USDIDR	14140	14100	14110	14085	14090	39	2019-02-18T08:35+02:00
USDINR	71.32	71.319	71.521	71.317	71.484	1220	2019-02-18T08:54+02:00
USDJPY	110.48	110.43	110.57	110.4	110.54	29915	2019-02-18T08:55+02:00
USDKRW	1125.44	1125.14	1125.9	1123.28	1125.35	7400	2019-02-18T08:54+02:00
USDMXN	19.2352	19.2492	19.2604	19.2397	19.234	7891	2019-02-18T08:55+02:00
USDMYR	4.083	4.083	4.083	4.076	4.08	18	2019-02-18T07:33+02:00
USDNOK	8.6328	8.6426	8.6454	8.615	8.6218	7403	2019-02-18T08:54+02:00
USDPEN	3.3365	3.3365	3.3365	3.3435	3.3365	4	2019-02-18T07:37+02:00
USDPHP	52.3	52.41	52.44	52.28	52.345	395	2019-02-18T08:54+02:00
USDPLN	3.8343	3.8349	3.8362	3.8257	3.8273	10724	2019-02-18T08:55+02:00
USDRON	4.1939	4.1948	4.1956	4.1877	4.188	623	2019-02-18T08:54+02:00
USDRUB	66.2523	66.2335	66.294	66.1575	66.2558	12554	2019-02-18T08:55+02:00
USDSAR	3.7499	3.7499	3.7503	3.7503	3.7502	1313	2019-02-18T08:55+02:00
USDSEK	9.2707	9.2831	9.2857	9.2506	9.2568	7675	2019-02-18T08:55+02:00
USDSGD	1.3565	1.3565	1.3569	1.3549	1.3554	6124	2019-02-18T08:55+02:00
USDTHB	31.26	31.27	31.29	31.19	31.22	3429	2019-02-18T08:55+02:00
USDTRY	5.2704	5.2747	5.2924	5.272	5.2858	13733	2019-02-18T08:55+02:00
USDTWD	30.812	30.81	30.833	30.79	30.796	2055	2019-02-18T08:54+02:00
USDZAR	14.0753	14.0897	14.1118	14.0549	14.0487	15772	2019-02-18T08:55+02:00
XAGUSD	15.775	15.782	0	0	15.819	0	2019-02-18T08:55+02:00
XAUUSD	1321.01	1321.2	0	0	1323.53	0	2019-02-18T08:55+02:00
XPDUSD	1432	1430	0	0	1443.5	0	2019-02-18T08:54+02:00
XPTUSD	802	804.5	0	0	803.06	0	2019-02-18T08:54+02:00
