symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.718	0.718	0.72	0.7178	0.7192	42977	2018-12-19T08:57+02:00
BTCUSD	3663.71	0	3776	3642.6899	3728.3501	5074	2018-12-19T08:57+02:00
EURUSD	1.1361	1.1359	1.1391	1.1361	1.1385	44584	2018-12-19T08:57+02:00
GBPUSD	1.2644	1.2638	1.2678	1.2636	1.266	66724	2018-12-19T08:57+02:00
ILSUSD	3.7588	3.759	3.7621	3.759	3.7562	1192	2018-12-19T08:57+02:00
NZDUSD	0.6845	0.6843	0.687	0.6846	0.6859	10634	2018-12-19T08:57+02:00
USDARS	38.221	38.255	38.255	38.27	38.255	2	2018-12-19T01:42+02:00
USDBGN	1.7215	1.7217	1.7217	1.7171	1.7174	16558	2018-12-19T08:57+02:00
USDBHD	0.3768	0.3768	0.377	0.377	0.3768	173	2018-12-19T08:55+02:00
USDBRL	3.9123	0	0	0	3.9123	0	2018-12-18T23:30+02:00
USDCAD	1.3463	1.3461	1.3474	1.3448	1.3452	22949	2018-12-19T08:57+02:00
USDCHF	0.9925	0.9924	0.9929	0.9916	0.9921	14232	2018-12-19T08:57+02:00
USDCLP	689.85	689.85	689.85	690.17	689.85	306	2018-12-19T08:55+02:00
USDCNH	6.8908	6.8927	6.8927	6.8855	6.8907	32427	2018-12-19T08:57+02:00
USDCNY	6.8939	6.8904	6.8958	6.888	6.8946	2069	2018-12-19T08:57+02:00
USDCOP	3203.56	3203.5601	3203.5601	3205	3203.5601	304	2018-12-19T08:55+02:00
USDCZK	22.652	22.658	22.661	22.59	22.587	11425	2018-12-19T08:57+02:00
USDDKK	6.5723	6.5724	6.5731	6.5559	6.5575	33691	2018-12-19T08:57+02:00
USDHKD	7.8188	7.8188	7.8219	7.8187	7.8217	2953	2018-12-19T08:57+02:00
USDHUF	283.42	283.37	283.56	282.99	282.87	27520	2018-12-19T08:57+02:00
USDIDR	14495	14430	14430	14360	14395	100	2018-12-19T08:48+02:00
USDINR	70.61	70.34	70.34	69.849	70.169	1267	2018-12-19T08:57+02:00
USDJPY	112.51	112.51	112.6	112.2	112.34	41147	2018-12-19T08:57+02:00
USDKRW	1126.53	1126.53	1127.5	1123.2	1122.4	7133	2018-12-19T08:57+02:00
USDMXN	20.072	20.072	20.0852	20.0443	20.0522	9396	2018-12-19T08:57+02:00
USDMYR	4.175	4.175	4.18	4.179	4.178	11	2018-12-19T05:15+02:00
USDNOK	8.7287	8.7301	8.7341	8.6994	8.7008	29871	2018-12-19T08:57+02:00
USDPEN	3.3432	0	0	0	3.3432	0	2018-12-18T23:50+02:00
USDPHP	52.964	53.05	53.09	52.95	53.08	166	2018-12-19T08:55+02:00
USDPLN	3.7716	3.7714	3.7722	3.759	3.7616	18846	2018-12-19T08:57+02:00
USDRON	4.0856	4.0855	4.0877	4.08	4.0802	21511	2018-12-19T08:57+02:00
USDRUB	67.4045	67.355	67.4729	67.0451	67.1028	22378	2018-12-19T08:57+02:00
USDSAR	3.7507	3.7507	3.7516	3.751	3.7512	766	2018-12-19T08:57+02:00
USDSEK	9.0685	9.068	9.0681	9.0394	9.0415	15168	2018-12-19T08:57+02:00
USDSGD	1.37	1.3701	1.3705	1.3686	1.3693	6874	2018-12-19T08:57+02:00
USDTHB	32.7	32.71	32.74	32.67	32.69	3004	2018-12-19T08:57+02:00
USDTRY	5.344	5.3401	5.346	5.322	5.3197	20056	2018-12-19T08:57+02:00
USDTWD	30.808	30.798	30.839	30.688	30.764	826	2018-12-19T08:55+02:00
USDZAR	14.34	14.3368	14.3502	14.2664	14.2633	20973	2018-12-19T08:57+02:00
XAGUSD	14.639	14.639	0	0	14.687	0	2018-12-19T08:57+02:00
XAUUSD	1249.29	1249.34	0	0	1249.87	0	2018-12-19T08:57+02:00
XPDUSD	1243.74	1236.49	0	0	1251.99	0	2018-12-19T08:43+02:00
XPTUSD	786.99	790.5	0	0	792.1	0	2018-12-19T08:57+02:00
