symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7051	0.7051	0.7072	0.7	0.7062	57336	2018-10-08T15:27+02:00
BTCUSD	6574.15	0	6656.6299	6541.0601	6605	2949	2018-10-08T15:27+02:00
EURUSD	1.1523	1.1518	1.1534	1.15	1.1462	58478	2018-10-08T15:27+02:00
GBPUSD	1.3122	1.3106	1.3134	1.3	1.3046	101442	2018-10-08T15:27+02:00
ILSUSD	3.6236	3.6155	3.6401	3.62	3.639	15994	2018-10-08T15:27+02:00
NZDUSD	0.6441	0.6435	0.6453	0.64	0.6444	27475	2018-10-08T15:27+02:00
USDARS	37.807	37.4	37.4	37.6	37.3	7	2018-10-08T15:24+02:00
USDBGN	1.6968	1.6974	1.7066	1.7	1.706	21090	2018-10-08T15:27+02:00
USDBHD	0.37698	0.3768	0.377	0.38	0.3768	706	2018-10-08T15:16+02:00
USDBRL	3.8406	3.7271	3.7653	3.71	3.7623	10349	2018-10-08T15:27+02:00
USDCAD	1.2935	1.2941	1.301	1.29	1.2989	31473	2018-10-08T15:27+02:00
USDCHF	0.9916	0.9918	0.9944	0.99	0.9936	26773	2018-10-08T15:27+02:00
USDCLP	675.68	675.68	682.72	675.4	681.98	3117	2018-10-08T15:27+02:00
USDCNH	6.8941	6.8932	6.9371	6.9	6.9312	91668	2018-10-08T15:27+02:00
USDCNY	6.868	6.9021	6.932	6.89	6.9309	3236	2018-10-08T15:26+02:00
USDCOP	3029.75	3029.75	3038.3101	3033.25	3038.1499	874	2018-10-08T15:27+02:00
USDCZK	22.333	22.342	22.465	22.34	22.455	25133	2018-10-08T15:27+02:00
USDDKK	6.4742	6.474	6.5093	6.47	6.5072	59567	2018-10-08T15:27+02:00
USDHKD	7.8348	7.8345	7.8366	7.82	7.8305	7572	2018-10-08T15:27+02:00
USDHUF	281.59	281.64	283.79	281.8	283.61	39134	2018-10-08T15:27+02:00
USDIDR	15175	15184	15258	15190	15215	105	2018-10-08T10:59+02:00
USDINR	73.765	73.865	74.095	73.78	74.06	1306	2018-10-08T13:31+02:00
USDJPY	113.7	113.69	113.94	113.11	113.14	51023	2018-10-08T15:27+02:00
USDKRW	1131.13	1130.84	1138.35	1129.4	1137.5	13327	2018-10-08T15:26+02:00
USDMXN	18.818	18.8192	18.9275	18.76	18.9124	33314	2018-10-08T15:27+02:00
USDMYR	4.144	4.145	4.153	4.15	4.153	34	2018-10-08T11:38+02:00
USDNOK	8.2589	8.2594	8.2988	8.26	8.2926	35029	2018-10-08T15:27+02:00
USDPEN	3.3195	0	0	0	3.319	0	2018-10-05T23:19+02:00
USDPHP	54.2	54.25	54.29	54.04	54.137	1945	2018-10-08T15:27+02:00
USDPLN	3.7368	3.7354	3.7611	3.73	3.76	28366	2018-10-08T15:27+02:00
USDRON	4.0517	4.0528	4.0721	4.05	4.0693	31651	2018-10-08T15:27+02:00
USDRUB	66.62	66.5745	67.09	66.57	66.861	41464	2018-10-08T15:27+02:00
USDSAR	3.7502	3.7502	3.7506	3.75	3.7502	2492	2018-10-08T15:05+02:00
USDSEK	9.0635	9.0658	9.1287	9.06	9.1169	41117	2018-10-08T15:27+02:00
USDSGD	1.3826	1.3827	1.3865	1.38	1.3852	14442	2018-10-08T15:27+02:00
USDTHB	32.8	32.77	33.03	32.77	32.99	15308	2018-10-08T15:27+02:00
USDTRY	6.1323	6.1333	6.19	6.11	6.1462	75045	2018-10-08T15:27+02:00
USDTWD	30.915	30.915	31.007	30.85	30.979	9408	2018-10-08T15:27+02:00
USDZAR	14.7633	14.7588	14.9807	14.75	14.8985	48424	2018-10-08T15:27+02:00
XAGUSD	14.59	14.63	0	0	14.324	0	2018-10-08T15:27+02:00
XAUUSD	1202.45	1202.76	0	0	1186.3101	0	2018-10-08T15:27+02:00
XPDUSD	1068.98	1065	0	0	1063.7	0	2018-10-08T15:27+02:00
XPTUSD	820.98	819	0	0	810.8	0	2018-10-08T15:27+02:00
