symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7845	0.7845	0.7847	0.78	0.7817	30819	2018-02-23T08:56+02:00
BTCUSD	9833.84	0	10026.3096	9600	9820.5	4765	2018-02-23T08:56+02:00
EURUSD	1.2329	1.2329	1.2337	1.23	1.2295	30852	2018-02-23T08:56+02:00
GBPUSD	1.3954	1.3959	1.3965	1.39	1.394	53217	2018-02-23T08:56+02:00
ILSUSD	3.492	3.4901	3.4914	3.49	3.4905	715	2018-02-23T08:56+02:00
NZDUSD	0.7338	0.7341	0.7344	0.73	0.7291	17667	2018-02-23T08:56+02:00
USDARS	19.929	0	0	0	19.929	0	2018-02-22T23:45+02:00
USDBGN	1.5861	1.5861	1.5906	1.59	1.5903	23788	2018-02-23T08:56+02:00
USDBHD	0.37678	0.377	0.377	0.38	0.3768	83	2018-02-23T08:55+02:00
USDBRL	3.2497	3.2497	3.2497	3.25	3.2497	1	2018-02-23T00:00+02:00
USDCAD	1.2703	1.2705	1.2725	1.27	1.2718	28146	2018-02-23T08:56+02:00
USDCHF	0.9325	0.9326	0.9355	0.93	0.935	8584	2018-02-23T08:56+02:00
USDCLP	592.1	592.1	592.1	592.35	592.1	303	2018-02-23T08:55+02:00
USDCNH	6.3333	6.3333	6.342	6.33	6.3402	36256	2018-02-23T08:56+02:00
USDCNY	6.3471	6.3455	6.348	6.34	6.3435	785	2018-02-23T08:56+02:00
USDCOP	2858	2858	2858	2860	2858	304	2018-02-23T08:55+02:00
USDCZK	20.558	20.556	20.612	20.55	20.606	11338	2018-02-23T08:56+02:00
USDDKK	6.0395	6.0395	6.057	6.04	6.0561	29117	2018-02-23T08:56+02:00
USDHKD	7.8242	7.8241	7.8247	7.82	7.8231	2186	2018-02-23T08:56+02:00
USDHUF	253.78	253.65	254.45	253.72	254.32	18028	2018-02-23T08:56+02:00
USDIDR	13680	13665	13676	13665	13676	74	2018-02-23T08:55+02:00
USDINR	64.97	64.95	64.95	64.82	64.835	633	2018-02-23T08:55+02:00
USDJPY	106.74	106.74	107.11	106.66	107.07	37697	2018-02-23T08:56+02:00
USDKRW	1079.72	1079.72	1081.4	1076.6	1079.37	9846	2018-02-23T08:56+02:00
USDMXN	18.61	18.6043	18.6437	18.59	18.626	10999	2018-02-23T08:56+02:00
USDMYR	3.915	3.912	3.912	3.89	3.91	83	2018-02-23T08:50+02:00
USDNOK	7.853	7.8528	7.8762	7.85	7.8678	24041	2018-02-23T08:56+02:00
USDPEN	3.2441	0	0	0	3.2441	0	2018-02-22T23:45+02:00
USDPHP	51.859	51.869	51.92	51.83	51.91	154	2018-02-23T08:51+02:00
USDPLN	3.3909	3.3906	3.4022	3.39	3.4006	13136	2018-02-23T08:56+02:00
USDRON	3.7737	3.7731	3.7846	3.78	3.783	14035	2018-02-23T08:56+02:00
USDRUB	56.4234	56.4289	56.5467	56.44	56.5412	6373	2018-02-23T08:56+02:00
USDSAR	3.75	3.7503	3.7503	3.75	3.7501	5	2018-02-23T07:13+02:00
USDSEK	8.1144	8.1144	8.1407	8.11	8.1309	12315	2018-02-23T08:56+02:00
USDSGD	1.319	1.319	1.3234	1.32	1.3233	5951	2018-02-23T08:56+02:00
USDTHB	31.46	31.49	31.53	31.43	31.49	4181	2018-02-23T08:56+02:00
USDTRY	3.782	3.782	3.7903	3.78	3.7903	14671	2018-02-23T08:56+02:00
USDTWD	29.281	29.275	29.293	29.23	29.256	2202	2018-02-23T08:56+02:00
USDZAR	11.6472	11.6525	11.6875	11.64	11.6845	15637	2018-02-23T08:56+02:00
XAGUSD	16.613	16.613	0	0	16.55	0	2018-02-23T08:56+02:00
XAUUSD	1331.43	1331.73	0	0	1326.89	0	2018-02-23T08:56+02:00
XPDUSD	1038.24	1040.2	0	0	1039.47	0	2018-02-23T08:56+02:00
XPTUSD	993.49	993.74	0	0	996.3	0	2018-02-23T08:56+02:00
