symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.699	0.699	0.7004	0.6986	0.6998	31450	2019-06-05T07:59+02:00
BTCUSD	7665.53	0	7854	7672.73	7759.9702	1804	2019-06-05T07:59+02:00
EURUSD	1.1251	1.1249	1.1265	1.1251	1.1262	14409	2019-06-05T07:59+02:00
GBPUSD	1.2696	1.2695	1.2718	1.2692	1.2714	39873	2019-06-05T07:59+02:00
ILSUSD	3.6172	3.617	3.6182	3.617	3.6151	3545	2019-06-05T07:59+02:00
NZDUSD	0.6605	0.6605	0.6644	0.6605	0.664	10970	2019-06-05T07:58+02:00
USDARS	44.664	44.67	44.67	44.69	44.67	2	2019-06-04T23:15+02:00
USDBGN	1.738	1.738	1.7386	1.7363	1.7363	13465	2019-06-05T07:59+02:00
USDBHD	0.37681	0.3768	0.377	0.377	0.377	128	2019-06-05T00:41+02:00
USDBRL	3.8542	3.8566	3.8578	3.855	3.8549	6	2019-06-05T00:30+02:00
USDCAD	1.339	1.3392	1.3402	1.3375	1.3374	25116	2019-06-05T07:59+02:00
USDCHF	0.9919	0.9919	0.9926	0.9909	0.9913	11677	2019-06-05T07:59+02:00
USDCLP	692.99	692.99	692.99	693.51	692.99	1064	2019-06-05T07:46+02:00
USDCNH	6.9196	6.9198	6.9301	6.9204	6.9266	26376	2019-06-05T07:59+02:00
USDCNY	6.9072	6.9068	6.9143	6.9087	6.9101	2018	2019-06-05T07:59+02:00
USDCOP	3290.33	3290.3301	3290.3301	3294.3301	3290.3301	1065	2019-06-05T07:46+02:00
USDCZK	22.852	22.856	22.864	22.814	22.798	11168	2019-06-05T07:59+02:00
USDDKK	6.6362	6.6374	6.6385	6.6293	6.6299	22373	2019-06-05T07:59+02:00
USDHKD	7.8413	7.8413	7.8424	7.8405	7.8413	2508	2019-06-05T07:59+02:00
USDHUF	286.01	285.97	286.16	285.84	285.61	17118	2019-06-05T07:59+02:00
USDIDR	14270	0	0	0	14270	0	2019-05-31T11:00+02:00
USDINR	69.278	69.319	69.345	69.289	69.3	37	2019-06-05T07:56+02:00
USDJPY	108.14	108.13	108.26	108.03	108.05	26780	2019-06-05T07:59+02:00
USDKRW	1177.56	1177.11	1181.3101	1177.15	1180.4	5994	2019-06-05T07:59+02:00
USDMXN	19.5598	19.555	19.6435	19.5605	19.6123	9349	2019-06-05T07:59+02:00
USDMYR	4.173	0	0	0	4.173	0	2019-06-04T11:11+02:00
USDNOK	8.6931	8.6947	8.6973	8.6858	8.6849	25288	2019-06-05T07:59+02:00
USDPEN	3.3475	3.3475	3.3475	3.3545	3.3475	7	2019-06-05T05:54+02:00
USDPHP	51.73	51.77	51.81	51.76	51.79	51	2019-06-05T07:57+02:00
USDPLN	3.8006	3.8013	3.8028	3.798	3.7983	14540	2019-06-05T07:59+02:00
USDRON	4.2023	4.2031	4.205	4.2019	4.2008	11565	2019-06-05T07:59+02:00
USDRUB	65.1405	65.1761	65.2242	65.0853	65.125	11351	2019-06-05T07:59+02:00
USDSAR	3.75	3.75	3.75	3.7501	3.75	3897	2019-06-05T07:59+02:00
USDSEK	9.4352	9.438	9.4408	9.4257	9.4254	15656	2019-06-05T07:59+02:00
USDSGD	1.3659	1.3659	1.3665	1.3642	1.3644	5429	2019-06-05T07:59+02:00
USDTHB	31.31	31.31	31.49	31.3	31.43	4718	2019-06-05T07:59+02:00
USDTRY	5.7746	5.7817	5.7822	5.7742	5.7735	6875	2019-06-05T07:59+02:00
USDTWD	31.35	31.373	31.425	31.346	31.345	2229	2019-06-05T07:58+02:00
USDZAR	14.65	14.6543	14.695	14.6261	14.6238	20696	2019-06-05T07:59+02:00
XAGUSD	14.815	14.8166	0	0	14.8073	0	2019-06-05T07:59+02:00
XAUUSD	1324.88	1325.1	0	0	1327.0747	0	2019-06-05T07:59+02:00
XPDUSD	1346.5	1347	0	0	1341.25	0	2019-06-05T07:58+02:00
XPTUSD	815.5	816.5	0	0	821.96	0	2019-06-05T07:58+02:00
