symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7052	0.7052	0.7053	0.6982	0.6984	113348	2019-01-02T23:58+02:00
BTCUSD	3819.44	0	3898.6001	3770	3873.6499	4959	2019-01-02T23:58+02:00
EURUSD	1.1462	1.1463	1.1497	1.1326	1.1341	103705	2019-01-02T23:58+02:00
GBPUSD	1.2751	1.274	1.2774	1.2583	1.2607	164291	2019-01-02T23:58+02:00
ILSUSD	3.7329	3.7376	3.7553	3.7348	3.7525	15444	2019-01-02T23:55+02:00
NZDUSD	0.6715	0.6715	0.6724	0.6653	0.6652	48283	2019-01-02T23:58+02:00
USDARS	37.619	37.619	38.12	37.64	37.696	191	2019-01-02T23:44+02:00
USDBGN	1.7057	1.7057	1.7268	1.7014	1.7239	49837	2019-01-02T23:58+02:00
USDBHD	0.3769	0.3769	0.377	0.377	0.3768	1214	2019-01-02T23:54+02:00
USDBRL	3.8804	3.8783	3.8968	3.7841	3.7897	44046	2019-01-02T22:15+02:00
USDCAD	1.3637	1.3636	1.3662	1.3568	1.3585	86111	2019-01-02T23:58+02:00
USDCHF	0.9814	0.9814	0.9919	0.9797	0.99	40514	2019-01-02T23:58+02:00
USDCLP	692.85	692.85	699.6	695.15	696.41	6974	2019-01-02T23:54+02:00
USDCNH	6.8675	6.8681	6.8831	6.8596	6.8785	63565	2019-01-02T23:58+02:00
USDCNY	6.8755	6.8608	6.8671	6.8488	6.8597	4217	2019-01-02T17:22+02:00
USDCOP	3245	3245	3263.99	3236.5801	3237.5	1727	2019-01-02T23:54+02:00
USDCZK	22.432	22.424	22.739	22.389	22.696	44980	2019-01-02T23:58+02:00
USDDKK	6.5123	6.5119	6.5934	6.4941	6.5826	119162	2019-01-02T23:58+02:00
USDHKD	7.8316	7.8311	7.8376	7.831	7.8329	4868	2019-01-02T23:57+02:00
USDHUF	280.08	280.08	284.42	279.51	283.94	74676	2019-01-02T23:58+02:00
USDIDR	14375	14420	14480	14450	14445	90	2019-01-02T10:58+02:00
USDINR	69.4475	69.449	70.235	69.457	69.98	2327	2019-01-02T21:39+02:00
USDJPY	109.71	109.66	109.72	108.72	108.9	84988	2019-01-02T23:58+02:00
USDKRW	1111.83	1112.7	1121.91	1114.7	1119.09	17969	2019-01-02T23:56+02:00
USDMXN	19.643	19.643	19.721	19.5341	19.5625	64937	2019-01-02T23:57+02:00
USDMYR	4.13	4.13	4.14	4.134	4.135	41	2019-01-02T11:35+02:00
USDNOK	8.6398	8.6395	8.7294	8.6334	8.7144	105798	2019-01-02T23:58+02:00
USDPEN	3.368	3.3661	3.373	3.368	3.3641	374	2019-01-02T23:44+02:00
USDPHP	52.095	52.51	52.62	52.409	52.4	3891	2019-01-02T19:40+02:00
USDPLN	3.7414	3.7413	3.7905	3.7306	3.7831	58629	2019-01-02T23:58+02:00
USDRON	4.0589	4.0585	4.111	4.0507	4.1036	25858	2019-01-02T23:57+02:00
USDRUB	69.68	69.6486	69.7133	68.692	69.001	4854	2019-01-02T23:47+02:00
USDSAR	3.7511	3.7509	3.7522	3.7511	3.751	8435	2019-01-02T17:06+02:00
USDSEK	8.8695	8.8692	9.0195	8.8529	9.0123	73922	2019-01-02T23:58+02:00
USDSGD	1.3631	1.3631	1.3664	1.3627	1.3662	23362	2019-01-02T23:58+02:00
USDTHB	32.04	32.04	32.43	32.06	32.26	12614	2019-01-02T23:57+02:00
USDTRY	5.2923	5.2923	5.4128	5.277	5.3982	83035	2019-01-02T23:58+02:00
USDTWD	30.533	30.533	30.805	30.508	30.76	12778	2019-01-02T23:56+02:00
USDZAR	14.38	14.3818	14.536	14.315	14.4477	69275	2019-01-02T23:58+02:00
XAGUSD	15.513	15.517	0	0	15.49	0	2019-01-02T23:57+02:00
XAUUSD	1284.74	1284.74	0	0	1284.42	0	2019-01-02T23:57+02:00
XPDUSD	1254.99	1262.49	0	0	1262.2	0	2019-01-02T23:58+02:00
XPTUSD	794.4	794.4	0	0	794.4	0	2019-01-02T23:57+02:00
